504105701135414, TEOMUC, TEOMUC, NOT FOUND, 25 MG/5 ML XPE PED CT FR VD AMB X 120 ML + CP MED, BS2
504105801113412, TESS, TESS, NOT FOUND, 2.0 MG + 0.035 MG DRG CT BL AL PLAS ( EST CALEND)  X 21, BS2
504105901134411, TOLOXIN, TOLOXIN, NOT FOUND, SOL OR CT FR VD AMB X 10 ML, BS2
504112401117413, TANTIN, TANTIN, NOT FOUND, 0.060 MG + 0.015 MG COM REV CT BL AL PLAS INC X 28 (24+4), BS2
504112402113411, TANTIN, TANTIN, NOT FOUND, 0.060 MG + 0.015 MG COM REV CT 3 BL AL PLAS INC X 28 (24+4), BS2
504106001110311, TRANDOR, TRANDOR, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 10, BS2
504106002117415, TRANDOR, TRANDOR, NOT FOUND, 200 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10, BS2
504106003113413, TRANDOR, TRANDOR, NOT FOUND, 200 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10, BS2
504106004111414, TRANDOR, TRANDOR, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 4, BS2
504106102111419, TRIAZOL, TRIAZOL, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 8, BS2
504106103118417, TRIAZOL, TRIAZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1, BS2
504106104114415, TRIAZOL, TRIAZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, BS2
504106107113411, TRIAZOL, TRIAZOL, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 4, BS2
504106105110413, TRIAZOL, TRIAZOL, NOT FOUND, 200 MG CAP GEL DURA CT 2 BL AL PLAS INC X 8, BS2
504106106117411, TRIAZOL, TRIAZOL, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 8, BS2
504106101115410, TRIAZOL, TRIAZOL, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 8, BS2
504111401113411, TAPAZOL, TAPAZOL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 50 , BS2
504104606112412, TAPAZOL, TAPAZOL, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 100 , BS2
