504103302111418, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 15, BS2
504103303116413, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 30, BS2
504103301131415, KELAFER, KELAFER, NOT FOUND, 250 MG/ML SUS OR GOT CT FR PLAS OPC X 30 ML, BS2
504103304112411, KELAFER, KELAFER, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 120 ML, BS2
504103305119411, KELAFER, KELAFER, NOT FOUND, 500 MG COM REV CT FR PLAS OPC X 15, BS2
504103306115418, KELAFER, KELAFER, NOT FOUND, 500 MG COM REV CT FR PLAS OPC X 30, BS2
504103302111418, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 15, BS2
504103303116413, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 30, BS2
504103301131415, KELAFER, KELAFER, NOT FOUND, 250 MG/ML SUS OR GOT CT FR PLAS OPC X 30 ML, BS2
504103304112411, KELAFER, KELAFER, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 120 ML, BS2
504103305119411, KELAFER, KELAFER, NOT FOUND, 500 MG COM REV CT FR PLAS OPC X 15, BS2
504103306115418, KELAFER, KELAFER, NOT FOUND, 500 MG COM REV CT FR PLAS OPC X 30, BS2
504103302111418, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 15, BS2
504103303116413, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 30, BS2
504103301131415, KELAFER, KELAFER, NOT FOUND, 250 MG/ML SUS OR GOT CT FR PLAS OPC X 30 ML, BS2
504103304112411, KELAFER, KELAFER, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 120 ML, BS2
504103305119411, KELAFER, KELAFER, NOT FOUND, 500 MG COM REV CT FR PLAS OPC X 15, BS2
504103306115418, KELAFER, KELAFER, NOT FOUND, 500 MG COM REV CT FR PLAS OPC X 30, BS2
504103302111418, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 15, BS2
504103303116413, KELAFER, KELAFER, NOT FOUND, 250 MG COM REV CT FR PLAS OPC X 30, BS2
504103301131415, KELAFER, KELAFER, NOT FOUND, 250 MG/ML SUS OR GOT CT FR PLAS OPC X 30 ML, BS2
