504101401161311, CONTRACTUBEX, CONTRACTUBEX, NOT FOUND, GEL CT BG AL REV X 20 G, BS2
504113050050903, CONTRACTUBEX, CONTRACTUBEX, NOT FOUND, GEL CT BG AL REV X 50 G, BS2
504101601152411, CRISTALPEN, CRISTALPEN, NOT FOUND, 5.000.000 UI/FA PO INJ CX 50 FA VD INC (USO HOSP.), BS2
504110701131415, CINETIC, CINETIC, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 100 ML + COPO DOSADOR, BS2
504110703116413, CINETIC, CINETIC, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 10 , BS2
504110702111418, CINETIC, CINETIC, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 100, BS2
504110704112411, CINETIC, CINETIC, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, BS2
504110705119411, CINETIC, CINETIC, NOT FOUND, 4 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 10 ML, BS2
504110706131413, CINETIC, CINETIC, NOT FOUND, 8 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 10 ML  , BS2
504110707138411, CINETIC, CINETIC, NOT FOUND, 8 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 15 ML  , BS2
504110708134411, CINETIC, CINETIC, NOT FOUND, 8 MG/ML SOL OR CONC CT FR PLAS OPC GOT X 20 ML  , BS2
504111501118413, CLAUDIC, CLAUDIC, NOT FOUND, 100 MG COM CT 2 BL AL PLAS INC X 15, BS2
504111503110411, CLAUDIC, CLAUDIC, NOT FOUND, 100 MG COM CT 4 BL AL PLAS INC X 15, BS2
504111502114411, CLAUDIC, CLAUDIC, NOT FOUND, 50 MG COM CT 2 BL AL PLAS INC X 15, BS2
504111504117418, CLAUDIC, CLAUDIC, NOT FOUND, 50 MG COM CT 4 BL AL PLAS INC X 15, BS2
504113001112412, CORTOID, CORTOID, NOT FOUND, 30 MG COM CT BL AL PLAS INC X 20, BS2
504113002119410, CORTOID, CORTOID, NOT FOUND, 6 MG COM CT BL AL PLAS INC X 20, BS2
504101701157415, CRONOBE, CRONOBE, NOT FOUND, 2000 MCG/ML SOL INJ CT 2 AMP VD AMB X 2.5 ML, BS2
504109901139416, COLONAC, COLONAC, NOT FOUND, 667 MG/ML XPE CT FR VD AMB X 120 ML, BS2
504101501158418, CORONAR, CORONAR, NOT FOUND, 10 MG/ML SOL INJ CT 50 AMP VD AMB X 01 ML, BS2
504101503118413, CORONAR, CORONAR, NOT FOUND, 20 MG COM CT 3 BL AL PLAS INC X 10, BS2
504114110052804, CIAVOR, CIAVOR, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 1, BS2
504114110052904, CIAVOR, CIAVOR, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 2 , BS2
504114110053004, CIAVOR, CIAVOR, NOT FOUND, 20 MG COM REV CT  BL AL PLAS INC X 4, BS2
504114110053104, CIAVOR, CIAVOR, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 8, BS2
504114110053204, CIAVOR, CIAVOR, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 12 , BS2
