504113903116411, XANTUR, XANTUR, NOT FOUND, 100 MG COM CT 2 BL AL PLAS INC X 15, BS2
504113901113415, XANTUR, XANTUR, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 15, BS2
504113902111416, XANTUR, XANTUR, NOT FOUND, 300 MG COM CT 2 BL AL PLAS INC X 15, BS2
504114102117310, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 10, BS2
504114103113319, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 20, BS2
504114104111311, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 30, BS2
504114101110312, XEFO, XEFO, NOT FOUND, 4 MG COM REV CT BL AL/AL X 4, BS2
504114108115311, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 10, BS2
504114105116315, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 20, BS2
504114106112313, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 30, BS2
504114107119311, XEFO, XEFO, NOT FOUND, 8 MG COM REV CT BL AL/AL X 4, BS2
504114201158414, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 1 FA VD INC, BS2
504114202154412, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 2 FA VD INC, BS2
504114203150410, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 3 FA VD INC, BS2
504114204157419, XEOMIN, XEOMIN, NOT FOUND, 100 U PO LIOF INJ CT 6 FA VD INC, BS2
