526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
526304601158417, TIOXIN, TIOXIN, NOT FOUND, 3 G + 0.1 G PO SOL INJ IV CT 01 FA VD INC (EMB HOSP), NVA
