57351, DANTALIN , DANTALIN, NOT FOUND, CPR 100 MG x 25, CAZ
78095, DERMEZIL , DERMEZIL, NOT FOUND, POM. 100 MG 20 G x 1 (/G), CAZ
64765, DERMOBAN , DERMOBAN, NOT FOUND, CREME 2 % 15 G x 1, CAZ
61283, DEXLERG , DEXLERG, NOT FOUND, CPR 2 MG x 20, CAZ
65615, DEXLERG , DEXLERG, NOT FOUND, XAR. 2 MG 120 ML x 1 (/5ML), CAZ
3474, DIUREZIN , DIUREZIN, NOT FOUND, CPR 25 MG x 20, CAZ
48978, DIUREZIN , DIUREZIN, NOT FOUND, CPR 50 MG x 20, CAZ
56001, DIUREZIN-A , DIUREZIN A, NOT FOUND, CPR x 30, CAZ
71883, DIUREZIN-C , DIUREZIN C, NOT FOUND, CPR 50 MG x 30 (/25), CAZ
64768, DIUREZIN-E , DIUREZIN E, NOT FOUND, CPR x 30, CAZ
60304, DORFEN , DORFEN, NOT FOUND, GOTAS 200 MG 15 ML x 1, CAZ
64769, DORFEN , DORFEN, NOT FOUND, SUSP 160 MG 60 ML x 1 (/5ML), CAZ
61303, DORFLAN , DORFLAN, NOT FOUND, CPR 50 MG x 20, CAZ
61305, DORFLAN , DORFLAN, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), CAZ
61304, DORFLAN GEL , DORFLAN GEL, NOT FOUND, GEL. 60 G x 1, CAZ
48979, DORGEN , DORGEN, NOT FOUND, DRAG 50 MG x 20, CAZ
66498, DOXSOL , DOXSOL, NOT FOUND, CPR 2 MG x 10, CAZ
65616, DRENIDRA , DRENIDRA, NOT FOUND, CPR 25 MG x 42, CAZ
61306, DRENIDRA , DRENIDRA, NOT FOUND, CPR 50 MG x 28, CAZ
