48414, PARARTRIN , PARARTRIN, NOT FOUND, CPR REVEST 300 MG x 30, CAZ
49037, PARARTRIN , PARARTRIN, NOT FOUND, CPR REVEST 600 MG x 30, CAZ
55101, PARAZOL , PARAZOL, NOT FOUND, CPR 200 MG x 2, CAZ
55102, PARAZOL , PARAZOL, NOT FOUND, SUSP 40 MG 10 ML x 1 (/ML), CAZ
61313, PRAMINAN , PRAMINAN, NOT FOUND, CPR REVEST 25 MG x 20, CAZ
60192, PRANOLAL , PRANOLAL, NOT FOUND, CPR 10 MG x 50, CAZ
60193, PRANOLAL , PRANOLAL, NOT FOUND, CPR 40 MG x 50, CAZ
61314, PRANOLAL , PRANOLAL, NOT FOUND, CPR 80 MG x 20, CAZ
61315, PRECORTIL , PRECORTIL, NOT FOUND, CPR 20 MG x 20, CAZ
61316, PRECORTIL , PRECORTIL, NOT FOUND, CPR 5 MG x 20, CAZ
60197, PRURIDOL , PRURIDOL, NOT FOUND, SOLN TOP. 25 % 100 ML x 1, CAZ
