48093, ACETICIL , ACETICIL, NOT FOUND, CPR 100 MG x 200 (INF), CAZ
48944, ACETICIL , ACETICIL, NOT FOUND, CPR 500 MG x 500 (ADLT), CAZ
48151, ACFOL , ACFOL, NOT FOUND, CPR 5 MG x 40, CAZ
48716, ACFOL , ACFOL, NOT FOUND, GOTAS 5 MG 10 ML x 1 (/ML), CAZ
61279, AEROTRAT , AEROTRAT, NOT FOUND, CPR 2 MG x 20, CAZ
48929, AEROTRAT , AEROTRAT, NOT FOUND, XAR. 2 MG 100 ML x 1 (/5ML), CAZ
60126, ALBISTIN , ALBISTIN, NOT FOUND, CREME VAG. 25 K 60 G x 1 (/G), CAZ
60127, ALBISTIN , ALBISTIN, NOT FOUND, DRAG 500 K x 16, CAZ
60128, ALBISTIN , ALBISTIN, NOT FOUND, SUSP 100 K 40 ML x 1 (/ML), CAZ
74782, ALIVBABY , ALIVBABY, NOT FOUND, POM. 20 G x 1, CAZ
69156, ALIVBABY , ALIVBABY, NOT FOUND, POM. 60 G x 1, CAZ
66252, ALIVIAN , ALIVIAN, NOT FOUND, CAPS 7.50 MG x 10, CAZ
67024, AMOXACIN , AMOXACIN, NOT FOUND, CAPS 500 MG x 10, CAZ
67025, AMOXACIN , AMOXACIN, NOT FOUND, CAPS 500 MG x 15, CAZ
67022, AMOXACIN , AMOXACIN, NOT FOUND, PO P/SUSP 250 MG 60 ML x 1 (/5ML), CAZ
67023, AMOXACIN , AMOXACIN, NOT FOUND, PO P/SUSP 500 MG 150 ML x 1 (/5ML), CAZ
47125, ANFLAT , ANFLAT, NOT FOUND, CPR 40 MG x 20, CAZ
47062, ANFLAT , ANFLAT, NOT FOUND, SOLN 75 MG 10 ML x 1 (/ML), CAZ
52590, ANGIODARONA , ANGIODARONA, NOT FOUND, CPR 200 MG x 20, CAZ
60131, ASMAFIN , ASMAFIN, NOT FOUND, GOTAS 240 MG 10 ML x 1 (/ML), CAZ
67027, ASMANON , ASMANON, NOT FOUND, CPR 1 MG x 20, CAZ
67026, ASMANON , ASMANON, NOT FOUND, XAR. 0.20 MG 150 ML x 1 (/ML), CAZ
55115, ATECARD , ATECARD, NOT FOUND, CPR 50 MG x 30, CAZ
