61493; CALZEM ; CALZEM; NOT FOUND; CPR 60 MG x 25; CAZ
60148; CASPACIL ; CASPACIL; NOT FOUND; XAMP 2.50 % 100 ML x 1; CAZ
64753; CAZIDERM ; CAZIDERM; NOT FOUND; SOLN 2 MG 30 ML x 1 (/G); CAZ
48961; CAZIDERM POMADA ; CAZIDERM POMADA; NOT FOUND; POM. 2 MG 20 G x 1 (/G); CAZ
48396; CAZIGERAN ; CAZIGERAN; NOT FOUND; DRAG x 20; CAZ
66944; CAZIGERAN ; CAZIGERAN; NOT FOUND; DRAG x 60; CAZ
66948; CEFABEN ; CEFABEN; NOT FOUND; CPR 500 MG x 8; CAZ
48965; CETOZOL ; CETOZOL; NOT FOUND; CREME 2 % 20 G x 1; CAZ
52604; CETOZOL ; CETOZOL; NOT FOUND; XAMP 2 % 100 ML x 1; CAZ
48964; CETOZOL COMPRIMIDO ; CETOZOL COMPRIMIDO; NOT FOUND; CPR 200 MG x 20; CAZ
60152; CINARAN ; CINARAN; NOT FOUND; CPR 25 MG x 20; CAZ
60153; CINARAN ; CINARAN; NOT FOUND; CPR 75 MG x 20; CAZ
66963; CIRLEG ; CIRLEG; NOT FOUND; CPR REVEST 10 MG x 6; CAZ
61281; CLOVIR ; CLOVIR; NOT FOUND; CPR 200 MG x 25; CAZ
61282; CLOVIR ; CLOVIR; NOT FOUND; CREME 50 MG 10 G x 1 (/G); CAZ
