60147; TEGREZIN ; TEGREZIN; NOT FOUND; CPR 200 MG x 20; CAZ
55997; TERMOPRIN ; TERMOPRIN; NOT FOUND; CPR 500 MG x 200; CAZ
43794; TERMOPRIN ; TERMOPRIN; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); CAZ
48050; TERMOPRIN ; TERMOPRIN; NOT FOUND; XAROPE 250 MG 100 ML x 1 (/5ML); CAZ
43835; TETRABEN ; TETRABEN; NOT FOUND; POM. 2 % 20 G x 1; CAZ
55341; THIANAX ; THIANAX; NOT FOUND; CPR 500 MG x 6; CAZ
55342; THIANAX ; THIANAX; NOT FOUND; POM. 5 % 45 G x 1; CAZ
60215; TIONAZEN ; TIONAZEN; NOT FOUND; CREME 10 MG 30 G x 1 (/G); CAZ
72737; TIONAZEN ; TIONAZEN; NOT FOUND; LOC. 10 MG 30 G x 1 (/G); CAZ
60216; TIONAZEN ; TIONAZEN; NOT FOUND; SOLN P/UNHA 280 MG 12 ML x 1 (/ML); CAZ
47847; TRATFER ; TRATFER; NOT FOUND; DRAG 250 MG x 50; CAZ
67013; TRICOMAX ; TRICOMAX; NOT FOUND; CREME VAG. 50 G x 1; CAZ
61324; TRIPSOL ; TRIPSOL; NOT FOUND; CPR 25 MG x 20; CAZ
