73687; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 100 MG x 30; RBY
73685; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 25 MG x 30; RBY
73686; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 50 MG x 30; RBY
60287; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR 250 MG x 7; RBY
60288; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR RECUB. 500 MG x 7; RBY
58958; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; RBY
58960; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; RBY
58956; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; RBY
59246; LORATADINA MG ; LORATADINA; LORATADINA; CPR 10 MG x 12; RBY
60289; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 1 MG x 20; RBY
61954; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 2 MG x 20; RBY
61957; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 14; RBY
61958; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 28; RBY
68928; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; RBY
82745; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 60; RBY
57533; LOVASTATINA MG ; LOVASTATINA; LOVASTATINA; CPR 10 MG x 30; RBY
57535; LOVASTATINA MG ; LOVASTATINA; LOVASTATINA; CPR 20 MG x 30; RBY
57536; LOVASTATINA MG ; LOVASTATINA; LOVASTATINA; CPR 40 MG x 10; RBY
