74360; IMIPENEM+CILAST.MG ; IMIPENEM CILAST; NOT FOUND; F.AMP S/F 500 MG 22 ML x 25; RBY
80113; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 150 MG x 15; RBY
82904; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 150 MG x 30; RBY
82905; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 300 MG x 15; RBY
82907; IRBESARTANA MG ; IRBESARTANA; IRBESARTANA; CPR REVEST 300 MG x 30; RBY
59009; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CPR 10 MG x 30; RBY
59010; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CPR 20 MG x 30; RBY
74914; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; GEL. 0.05 % 30 G x 1; RBY
61950; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 10; RBY
61951; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 15; RBY
61952; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 4; RBY
