1542300410029; LONIPRIL H; LONIPRIL H; NOT FOUND; 20 MG + 12.5 MG COM CT 02 BL X 15; GOB
1542300160049; LANZOPEPT; LANZOPEPT; NOT FOUND; 30 MG CAP GEL DURA C/ MICROG DESINT GRAD CT 01 BL AL PLAS INC X 07 ; GOB
1542300160057; LANZOPEPT; LANZOPEPT; NOT FOUND; 30 MG CAP GEL DURA C/ MICROG DESINT GRAD CT 02 BL AL PLAS INC X 07 ; GOB
1542300160065; LANZOPEPT; LANZOPEPT; NOT FOUND; 30 MG CAP GEL DURA C/ MICROG DESINT GRAD CT 04 BL AL PLAS INC X 07 ; GOB
1542300160014; LANZOPEPT; LANZOPEPT; NOT FOUND; 15 MG CAP GEL DURA C/ MICROG DESINT GRAD CT02 BL AL PLAS INC X 07; GOB
1542300160073; LANZOPEPT; LANZOPEPT; NOT FOUND; 30 MG CAP GEL DURA C/MICROG DESINT GRAD CT 50 BL AL PLAS INC X 07 (EMBA HOSP); GOB
1542301940013; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR GOT PLAS TRANS X 2.5 ML; GOB
1542301940021; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML ; GOB
1542301940031; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT 50 FR GOT PLAS TRANS X 2.5 ML (EMB HOSP); GOB
1542301940048; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT 50 FR GOT PLAS TRANS X 5 ML (EMB HOSP); GOB
1542301970011; LATANOPROSTA + MALEATO DE TIMOLOL; LATANOPROSTA MALEATO TIMOLOL; NOT FOUND; 50 MCG/ML + 5 MG/ML SOL OFT CT FR GOT PLAS TRANS X 2.5 ML; GOB
1542301970036; LATANOPROSTA + MALEATO DE TIMOLOL; LATANOPROSTA MALEATO TIMOLOL; NOT FOUND; 50 MCG/ML + 5 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML; GOB
1542301970028; LATANOPROSTA + MALEATO DE TIMOLOL; LATANOPROSTA MALEATO TIMOLOL; NOT FOUND; 50 MCG/ML + 5 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 2.5 ML (EMB HOSP); GOB
1542301970044; LATANOPROSTA + MALEATO DE TIMOLOL; LATANOPROSTA MALEATO TIMOLOL; NOT FOUND; 50 MCG/ML + 5 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 5 ML (EMB HOSP); GOB
1542300290112; LONIPRIL; LONIPRIL; NOT FOUND; 10 MG COM CT 03 BL AL PLAS INC X 10 ; GOB
1542300290082; LONIPRIL; LONIPRIL; NOT FOUND; 20 MG COM CT 3 BL X 10; GOB
1542300290023; LONIPRIL; LONIPRIL; NOT FOUND; 5 MG COM CT 3 BL X 10; GOB
1542300290066; LONIPRIL; LONIPRIL; NOT FOUND; 10 MG COM CT 30 BL AL PLAS INC X 15; GOB
1542300030024; LORITIL; LORITIL; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 100 ML; GOB
1542300030025; LORITIL; LORITIL; NOT FOUND; 5.0MG/5.0ML XPE CT 60 FR VD AMB X 100 ML; GOB
1542300490014; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED X 10 ML ; GOB
1542300490022; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED X 10 ML (EMB HOSP); GOB
1542300030013; LORITIL; LORITIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 12; GOB
1542300030021; LORITIL; LORITIL; NOT FOUND; 10 MG COM CT 40 BL AL PLAS INC X 12 (EMBA HOSP); GOB
1542300030021; LORITIL; LORITIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 480 (EMB HOSP); GOB
1542301530011; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1MG/ML + 12MG/ML XPE CT FR VD AMB X 60ML + CP MED ; GOB
1542301550010; LORITIL D; LORITIL D; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; GOB
1542301730019; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 15 ; GOB
1542301730027; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 20 ; GOB
1542301730035; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 30; GOB
1542301730043; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 60; GOB
1542301730051; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 100 (EMB HOSP); GOB
1542301730061; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 500 (EMB HOSP); GOB
1542301730078; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 15 ; GOB
1542301730086; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 20; GOB
1542301730094; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 30; GOB
1542301730108; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 60; GOB
1542301730116; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 100 (EMB HOSP); GOB
1542301730124; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 500 (EMB HOSP); GOB
1542301730132; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVC X 15 ; GOB
1542301730140; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVC X 20; GOB
1542301730159; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVC X 30; GOB
1542301730167; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVC X 60; GOB
1542301730175; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVC X 100 (EMB HOSP); GOB
1542301730183; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVC X 500 (EMB HOSP); GOB
1542301730191; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVDC X 15 ; GOB
1542301730205; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVDC X  20; GOB
1542301730213; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVDC X 30; GOB
1542301730221; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVDC X 60; GOB
1542301730231; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVDC X 100 (EMB HOSP); GOB
1542301730248; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVDC X 500 (EMB HOSP); GOB
1542301730256; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 450 (EMB HOSP) ; GOB
1542301730264; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVC X 600 (EMB HOSP) ; GOB
1542301730272; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 450 (EMB HOSP) ; GOB
1542301730280; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PVDC X 600 (EMB HOSP) ; GOB
1542301730299; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PVC X 450 (EMB HOSP) ; GOB
