1542301430066; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
1542301430074; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP); GOB
1542301430082; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML; GOB
1542301430090; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 10 ML (EMB HOSP); GOB
1542301650041; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML; GOB
1542301650058; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301650015; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML; GOB
1542301650066; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301650031; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301650023; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301920012; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CT FR GOT PLAS TRANS X 10 ML; GOB
1542301920020; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 10 ML (EMB HOSP); GOB
1542301920039; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CT FR GOT PLAS TRANS X 15 ML; GOB
1542301920047; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 15 ML (EMB HOSP); GOB
1542301520065; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301520057; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML; GOB
1542301520030; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CX 60 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301520121; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301520138; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML; GOB
1542301520091; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS OPC X 5 ML; GOB
1542301520146; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301520154; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CX 60 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301520111; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CX 60 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301520103; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301520022; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301520014; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GOB
1542301520049; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301520162; OPTYMOL; OPTYMOL; NOT FOUND; 5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301520081; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301520073; OPTYMOL; OPTYMOL; NOT FOUND; 2.5 MG/ML SOL OFT CX 60 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301490018; OXIDO DE ZINCO + NISTATINA; OXIDO ZINCO NISTATINA; NOT FOUND; 200MG/G + 1000UI/G POM DERM CT 01 BG AL X 60G; GOB
1542301490026; OXIDO DE ZINCO + NISTATINA; OXIDO ZINCO NISTATINA; NOT FOUND; 200MG/G + 1000UI/G POM DERM CT 60 BG AL X 60G (EMB HOSP); GOB
1542300190101; OMENAX; OMENAX; NOT FOUND; 10 MG CAPS. CT 01 BL X 14; GOB
1542300190061; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 14; GOB
1542300190088; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 02 BL AL PLAS INC X 14; GOB
1542300190118; OMENAX; OMENAX; NOT FOUND; 10 MG CAP GEL DURA CT 35 BL AL PLAS INC X 14; GOB
1542300190126; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 35 BL AL PLAS INC X 14; GOB
1542300190134; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 07; GOB
1542300190142; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 14; GOB
1542300190150; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 28; GOB
1542300190169; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 56; GOB
1542300190177; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 490 (EMB HOSP); GOB
1542300190274; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15; GOB
1542300190282; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 30; GOB
1542300190290; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 56; GOB
1542300190304; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 60; GOB
1542300190312; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 450 (EMB HOSP); GOB
1542300190320; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 15; GOB
1542300190339; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 30; GOB
1542300190347; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 60; GOB
1542300190355; OMENAX; OMENAX; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 450 (EMB HOSP); GOB
1542302060017; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CT FR GOT PLAS AMB X 15 ML; GOB
1542302060025; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CT FR GOT VD AMB X 15 ML; GOB
1542302060033; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CX 50 FR GOT PLAS AMB X 15 ML (EMB HOSP); GOB
1542302060041; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL CX 50 FR GOT VD AMB X 15 ML (EMB HOSP); GOB
1542301990010; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 14; GOB
1542301990150; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 56; GOB
1542301990061; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 60; GOB
1542301990118; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 14; GOB
1542301990029; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 15; GOB
1542301990126; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 15; GOB
1542301990037; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 28; GOB
1542301990134; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 28; GOB
1542301990045; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 30; GOB
1542301990142; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 30; GOB
1542301990053; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVC TRANS X 56; GOB
1542301990169; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PVDC TRANS X 60; GOB
1542301990071; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 98 (EMB HOSP); GOB
1542301990177; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 98 (EMB HOSP) ; GOB
1542301990088; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 150 (EMB HOSP); GOB
1542301990185; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 150 (EMB HOSP); GOB
1542301990096; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 450 (EMB HOSP); GOB
1542301990193; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 450 (EMB HOSP); GOB
1542301990101; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVC TRANS X 490 (EMB HOSP); GOB
1542301990207; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CX BL AL PVDC TRANS X 490 (EMB HOSP); GOB
1542301990312; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 14; GOB
1542301990215; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 14; GOB
1542301990320; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 15; GOB
