1542301660126; ZITROBIOL; ZITROBIOL; NOT FOUND; 500 MG COM REV CT BL AL PVDC TRANS X 300 (EMB HOSP); GOB
1542301660096; ZITROBIOL; ZITROBIOL; NOT FOUND; 500 MG COM REV CT BL AL PVC TRANS X 150 (EMB HOSP); GOB
1542301660118; ZITROBIOL; ZITROBIOL; NOT FOUND; 500 MG COM REV CT BL AL PVDC TRANS X 150 (EMB HOSP); GOB
1542301660101; ZITROBIOL; ZITROBIOL; NOT FOUND; 500 MG COM REV CT BL AL PVC TRANS X 300 (EMB HOSP); GOB
1542301660029; ZITROBIOL; ZITROBIOL; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 3; GOB
1542301660045; ZITROBIOL; ZITROBIOL; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 100 (EMB HOSP); GOB
1542301660010; ZITROBIOL; ZITROBIOL; NOT FOUND; 500 MG COM REV CT BL AL PVC INC X 2; GOB
1542300050049; ZOLMICOL; ZOLMICOL; NOT FOUND; 20 MG/G CREM DERM CT 1 BG AL X 30 G; GOB
1542300050057; ZOLMICOL; ZOLMICOL; NOT FOUND; 20 MG/G CREM DERM CT 60 BG AL X 30 G (EMB. HOSP.); GOB
1542300050073; ZOLMICOL; ZOLMICOL; NOT FOUND; 20 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); GOB
1542300050065; ZOLMICOL; ZOLMICOL; NOT FOUND; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); GOB
1542300050014; ZOLMICOL; ZOLMICOL; NOT FOUND; 200 MG COM CT 1 BL AL PLAS INC X 10; GOB
1542300050022; ZOLMICOL; ZOLMICOL; NOT FOUND; 200 MG COM CT 3 BL AL PLAS INC X 10; GOB
1542300050030; ZOLMICOL; ZOLMICOL; NOT FOUND; 200 MG COM CT 50 BL AL PLAS INC X 10 ( EMB HOSPITALAR ); GOB
1542301750011; ZILEPAM; ZILEPAM; NOT FOUND; 2.5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; GOB
1542301750087; ZILEPAM; ZILEPAM; NOT FOUND; 2.5 MG/ML SOL OR CT FR PET AMB GOT X 20 ML; GOB
1542301750109; ZILEPAM; ZILEPAM; NOT FOUND; 2.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GOB
1542301750095; ZILEPAM; ZILEPAM; NOT FOUND; 2.5 MG/ML SOL OR CX 50 FR PET AMB GOT X 20 ML (EMB HOSP); GOB
1542301750117; ZILEPAM; ZILEPAM; NOT FOUND; 2.5 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); GOB
1542301750079; ZILEPAM; ZILEPAM; NOT FOUND; 2.5 MG/ML SOL OR CX 50 FR VD AMB GOT X 20 ML (EMB HSOP); GOB
