1542300350115; ULTIDIN; ULTIDIN; NOT FOUND; 15 MG/ML XPE CT FR PET AMB X 120; GOB
1542300350336; ULTIDIN; ULTIDIN; NOT FOUND; 15 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS; GOB
1542300350344; ULTIDIN; ULTIDIN; NOT FOUND; 15 MG/ML XPE CX 25 FR PLAS AMB X 120 ML + 25 SER DOS (EMB HOSP); GOB
1542300350352; ULTIDIN; ULTIDIN; NOT FOUND; 15 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 SER DOS (EMB HOSP) ; GOB
1542300350360; ULTIDIN; ULTIDIN; NOT FOUND; 15 MG/ML XPE CX 60 FR PLAS AMB X 120 ML + 60 SER DOS (EMB HOSP) ; GOB
1542300350085; ULTIDIN; ULTIDIN; NOT FOUND; 300 MG COM REV X 20; GOB
1542300350026; ULTIDIN; ULTIDIN; NOT FOUND; 150 MG COM REV CT BL AL/AL X 20; GOB
1542300350018; ULTIDIN; ULTIDIN; NOT FOUND; 150MG COM REV CT BL X 10; GOB
1542300350077; ULTIDIN; ULTIDIN; NOT FOUND; 300 MG COM REVE CT BL AL X 10; GOB
1542300350042; ULTIDIN; ULTIDIN; NOT FOUND; 150 MG COM REV CT BL AL/AL X 500 ; GOB
1542300350093; ULTIDIN; ULTIDIN; NOT FOUND; 300 MG COM REV CT BL AL/AL X 300 (EMB HOSP); GOB
1542300350107; ULTIDIN; ULTIDIN; NOT FOUND; 300 MG COM REV CT BL AL/AL X 500 (EMB HOSP); GOB
