1542301810012; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 2 ENV AL POLIET X 5G - MEL/LIMAO ; GOB
1542301810020; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 10 ENV AL POLIET X 5G - MEL/LIMAO ; GOB
1542301810039; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 50 ENV AL POLIET X 5G (EMB MULT) - MEL/LIMAO ; GOB
1542301810047; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 100 ENV AL POLIET X 5G (EMB MULT) - MEL/LIMAO ; GOB
1542301810055; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 200 ENV AL POLIET X 5G (EMB MULT) - MEL/LIMAO ; GOB
1542301810063; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 2 ENV AL POLIET X 5G - HORTELA/GENGIBRE; GOB
1542301810071; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 10 ENV AL POLIET X 5G - HORTELA/GENGIBRE; GOB
1542301810081; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 50 ENV AL POLIET X 5G (EMB MULT) - HORTELA/GENGIBRE; GOB
1542301810098; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 100 ENV AL POLIET X 5G (EMB MULT) - HORTELA/GENGIBRE; GOB
1542301810101; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 200 ENV AL POLIET X 5G (EMB MULT) - HORTELA/GENGIBRE; GOB
1542301810111; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 2 ENV AL POLIET X 5G - LARANJA/ACEROLA; GOB
1542301810128; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 10 ENV AL POLIET X 5G - LARANJA/ACEROLA; GOB
1542301810136; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 50 ENV AL POLIET X 5G (EMB MULT) - LARANJA/ACEROLA; GOB
1542301810144; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 100 ENV AL POLIET X 5G (EMB MULT) - LARANJA/ACEROLA; GOB
1542301810152; RESFRILIV; RESFRILIV; NOT FOUND; 400MG + 4MG + 4MG PO CT 200 ENV AL POLIET X 5G (EMB MULT) - LARANJA/ACEROLA; GOB
