1542300400015; GLICEFOR; GLICEFOR; NOT FOUND; 850 MG COM CT BL AL PLAS INC X 30; GOB
1542300400023; GLICEFOR; GLICEFOR; NOT FOUND; 850 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP); GOB
1542300400031; GLICEFOR; GLICEFOR; NOT FOUND; 850 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); GOB
1542300400041; GLICEFOR; GLICEFOR; NOT FOUND; 850 MG COM CT BL AL PLAS TRANS X 60; GOB
1542300400058; GLICEFOR; GLICEFOR; NOT FOUND; 850 MG COM CT BL AL PLAS TRANS X 90; GOB
1542300400112; GLICEFOR; GLICEFOR; NOT FOUND; 1 G COM CT BL AL PLAS TRANS X 30 ; GOB
1542300400120; GLICEFOR; GLICEFOR; NOT FOUND; 1 G COM CT BL AL PLAS TRANS X 60; GOB
1542300400139; GLICEFOR; GLICEFOR; NOT FOUND; 1 G COM CT BL AL PLAS TRANS X 90; GOB
1542300400147; GLICEFOR; GLICEFOR; NOT FOUND; 1 G COM CT BL AL PLAS TRANS X 500 (EMB HOSP); GOB
1542300400155; GLICEFOR; GLICEFOR; NOT FOUND; 1 G COM CT BL AL PLAS TRANS X 1000 (EMB HOSP); GOB
1542300430011; GLICAMIN; GLICAMIN; NOT FOUND; 5 MG COM CT 02 BL AL PLAS INC X 15 ; GOB
1542300430038; GLICAMIN; GLICAMIN; NOT FOUND; 5 MG COM CT 30 BL AL PLAS INC X 15 (EMB. HOSP.); GOB
1542302120011; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS TRANS X 7 ; GOB
1542302120028; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS TRANS X 15; GOB
1542302120036; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS TRANS X 30; GOB
1542302120044; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS TRANS X 60; GOB
1542302120052; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP); GOB
1542300960037; GINO NITROZOL; GINO NITROZOL; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC DESC; GOB
1542300570018; GINO MIZONOL; GINO MIZONOL; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC ; GOB
1542300570026; GINO MIZONOL; GINO MIZONOL; NOT FOUND; 20 MG/G CREM VAG CX 60 BG AL X 80 G + 840 APLIC (EMB HOSP); GOB
1542301120016; GINO-COLON; GINO COLON; NOT FOUND; 30MG/G + 20MG/G CREM VAG CT BG AL X 45G + 7 APLIC DESC; GOB
1542301120024; GINO-COLON; GINO COLON; NOT FOUND; 30MG/G + 20MG/G CREM VAG CX 60 BG AL X 45G + 420 APLIC DESC (EMB HOSP); GOB
