1542301890016; PREDOPTIC; PREDOPTIC; NOT FOUND; 10MG/ML SUSP OFT CT FR PLAS OPC GOT X 5ML; GOB
1542301890024; PREDOPTIC; PREDOPTIC; NOT FOUND; 10MG/ML SUSP OFT CX 50 FR PLAS OPC GOT X 5ML (EMB HOSP); GOB
1542301890032; PREDOPTIC; PREDOPTIC; NOT FOUND; 10 MG/ML SUSP OFT CT FR PLAS OPC GOT X 10 ML; GOB
1542301890040; PREDOPTIC; PREDOPTIC; NOT FOUND; 10MG/ML SUSP OFT CX 50 FR PLAS OPC GOT X 10ML (EMB HOSP); GOB
1542300170036; POLOL; POLOL; NOT FOUND; 40 MG COM CT 02 BL AL PLAS INC X 20; GOB
1542300170060; POLOL; POLOL; NOT FOUND; 80 MG COM CT 01 BL AL PLAS INC X 20; GOB
1542300170079; POLOL; POLOL; NOT FOUND; 80 MG COM CT 02 BL AL PLAS INC X 20; GOB
1542300170044; POLOL; POLOL; NOT FOUND; 40 MG COM CT 30 BL AL PLAS INC X 20 (EMB HOSP); GOB
1542300170087; POLOL; POLOL; NOT FOUND; 80 MG COM CT 30 BL AL PLAS INC X 20 (EMBA HOSP); GOB
1542300170011; POLOL; POLOL; NOT FOUND; 40 MG COM CT 02 BL AL PLAS INC X 15; GOB
1542300170052; POLOL; POLOL; NOT FOUND; 80 MG COM CT 02 BL AL PLAS INC X 15; GOB
1542300180015; POLOL-H; POLOL H; NOT FOUND; 40 MG+25 MG COMP. CT. 2 X 15; GOB
1542300180031; POLOL-H; POLOL H; NOT FOUND; 80 MG + 25 MG COMP. CT. 2 X 15; GOB
1542301480039; PANTODEX; PANTODEX; NOT FOUND; 50 MG/G POM DERM CT BG AL X 30 G; GOB
1542300260061; POLTAX; POLTAX; NOT FOUND; 44.3 MG COM DISP CT 50 BL AL PLAS INC X 10 (EMB. HOSP); GOB
1542300260019; POLTAX; POLTAX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20  ; GOB
1542300260078; POLTAX; POLTAX; NOT FOUND; 50 MG COM REV CT 25 BL AL PLAS INC X 20  ; GOB
1542300260027; POLTAX; POLTAX; NOT FOUND; 50 MG COM REV CT 50 BL AL PLAS INC X 20 (EMB. HOSP.); GOB
1542300260051; POLTAX; POLTAX; NOT FOUND; 44.3 MG COM DISP CT 2 BL AL PLAS INC X 10; GOB
1542302010028; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 24; GOB
1542302010036; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP); GOB
1542302010044; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP); GOB
1542302010052; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS TRANS X 12; GOB
1542302010060; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS TRANS X 24; GOB
1542302010079; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 30 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP); GOB
1542302010087; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 30 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP); GOB
1542302010011; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 12; GOB
1542300210011; PRYLTEC-H; PRYLTEC H; NOT FOUND; 10 MG + 25 MG COMP. CT. 3 X 10; GOB
1542300210021; PRYLTEC-H; PRYLTEC H; NOT FOUND; 20 MG + 12.5 MG COMP. CT. 3 X 10; GOB
1542300250031; PRYLTEC; PRYLTEC; NOT FOUND; 10 MG COM CT BL AL/AL X 30 ; GOB
1542300250064; PRYLTEC; PRYLTEC; NOT FOUND; 20 MG COM CT BL AL/AL X 30 ; GOB
1542300250013; PRYLTEC; PRYLTEC; NOT FOUND; 5 MG COMP. CT 03 BL X 10; GOB
1542300250048; PRYLTEC; PRYLTEC; NOT FOUND; 10 MG COM CX BL AL/AL X 500 (EMB HOSP); GOB
1542300250072; PRYLTEC; PRYLTEC; NOT FOUND; 20 MG COM CX BL AL/AL X 500 (EMB HOSP); GOB
1542300250021; PRYLTEC; PRYLTEC; NOT FOUND; 5 MG COM CT 50 BL AL AL X 10 (EMB HOSP); GOB
1542300250110; PRYLTEC; PRYLTEC; NOT FOUND; 10 MG COM CT STR AL/AL X 500 (EMB HOSP); GOB
1542300250137; PRYLTEC; PRYLTEC; NOT FOUND; 20 MG COM CT STR AL/AL X 500 (EMB HOSP); GOB
1542300500011; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; GOB
1542300500028; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT 60 FR PLAS OPC GOT X 15 ML (EMB HOSP); GOB
1542301800041; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 20 ; GOB
1542301800017; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 20 ; GOB
1542301800025; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 (EMB MULTI); GOB
1542301800033; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); GOB
1542301800051; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 200 (EMB MULTI); GOB
1542301800068; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); GOB
1542300790018; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL DERM CT BG AL X 30 G  ; GOB
1542300790026; PIROXICAM; PIROXICAM; PIROXICAM; 5 MG/G GEL DERM CX 60 BG AL X 30 G (EMB HOSP); GOB
1542300420040; PREDNAX; PREDNAX; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; GOB
1542300420032; PREDNAX; PREDNAX; NOT FOUND; 20 MG COM CT 2 BL AL PLAS INC X 10; GOB
1542300420016; PREDNAX; PREDNAX; NOT FOUND; 5.0 MG COM CT BL AL PLAS INC X 20 ; GOB
1542300420059; PREDNAX; PREDNAX; NOT FOUND; 20 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP); GOB
1542300420024; PREDNAX; PREDNAX; NOT FOUND; 5.0 MG COM CT 20 BL AL PLAS INC X 20 (EMB. HOSP); GOB
1542300420067; PREDNAX; PREDNAX; NOT FOUND; 5.0 MG COM CT BL AL PLAS TRANS X 30; GOB
1542300420075; PREDNAX; PREDNAX; NOT FOUND; 20 MG COM CT BL AL PLAS TRANS X 30; GOB
1542300860016; PSORIZOL; PSORIZOL; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 30 G; GOB
1542300860032; PSORIZOL; PSORIZOL; NOT FOUND; 0.5 MG/G POM DERM CT BG AL X 30 G; GOB
1542300860024; PSORIZOL; PSORIZOL; NOT FOUND; 0.5 MG/G CREM DERM CX 60 BG AL X 30 G (EMB HOSP); GOB
1542300990017; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 30 G; GOB
1542300850010; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G; GOB
