1542300270030; FLEXALGIN; FLEXALGIN; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30; GOB
1542300270049; FLEXALGIN; FLEXALGIN; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100  ; GOB
1542300390036; FLEXALGEX; FLEXALGEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 100; GOB
1542300390028; FLEXALGEX; FLEXALGEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT 30 BL AL PLAS AMB X 10; GOB
1542301030017; FLUILITIC; FLUILITIC; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542301030033; FLUILITIC; FLUILITIC; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542301030041; FLUILITIC; FLUILITIC; NOT FOUND; 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED ( EMB. HOSP.); GOB
1542301030025; FLUILITIC; FLUILITIC; NOT FOUND; 50 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP); GOB
1542301030076; FLUILITIC; FLUILITIC; NOT FOUND; 20 MG/ML XPE CT FR PEAD X 100 ML + CP MED; GOB
1542301030084; FLUILITIC; FLUILITIC; NOT FOUND; 20 MG/ML XPE CX 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP); GOB
1542301030068; FLUILITIC; FLUILITIC; NOT FOUND; 50 MG/ML XPE CT 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP); GOB
1542301030051; FLUILITIC; FLUILITIC; NOT FOUND; 50 MG/ML XPE CT FR PEAD X 100 ML + CP MED; GOB
1542300900034; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 3.0 MG/ML XPE PED CT FR VD AMB X 120 ML + CP MED; GOB
1542300900018; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 6.0 MG/ML XPE ADU CT FR VD AMB X 120 ML + CP MED; GOB
1542300900042; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 3.0 MG/ML XPE PED CX 60 FR VD AMB X 120ML + 60 CP MED (EMB. HOSP.); GOB
1542300900085; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 3.0 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300900077; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 3.0 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542300900050; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 6.0 MG/ML XPE CT FR PEAD X 120ML + CP MED; GOB
1542300900069; FLUISOLVAN; FLUISOLVAN; NOT FOUND; 6.0 MG/ML XPE CX 60 FR PEAD X 120ML + 60 CP MED (EMB HOSP); GOB
1542301640011; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML; GOB
1542301640044; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML; GOB
1542301640060; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301640036; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
