1542301340016; IBUVIX; IBUVIX; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS GOT X 30 ML; GOB
1542301340156; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 20 ML (EMB HOSP); GOB
1542301340172; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 30 ML (EMB HOSP); GOB
1542301340148; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 20 ML; GOB
1542301340164; IBUVIX; IBUVIX; NOT FOUND; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 30 ML; GOB
1542301340067; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + CP MED; GOB
1542301340105; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + SER DOS; GOB
1542301340083; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + CP MED; GOB
1542301340121; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + SER DOS; GOB
1542301340075; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301340113; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 SER DOS (EMB HOSP); GOB
1542301340091; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301340131; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 SER DOS (EMB HOSP); GOB
1542301330010; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUSP OR FR PLAS GOT X 30 ML; GOB
1542301330029; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUSP OR CX 50 FR PLAS GOT X 30 ML (EMB HOSP); GOB
1542301330150; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 20 ML (EMB HOSP); GOB
1542301330177; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT 50 FR PLAS OPC X 30 ML (EMB HOSP); GOB
1542301330142; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 20 ML; GOB
1542301330061; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + CP MED; GOB
1542301330101; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PEAD X 120 ML + SER DOS; GOB
1542301330088; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + CP MED; GOB
1542301330126; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CT FR PET AMB X 120 ML + SER DOS; GOB
