1542301850014; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 10 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI) ; GOB
1542301850022; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 50 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI) ; GOB
1542301850030; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 60 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI); GOB
1542301850049; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 100 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI); GOB
1542301850057; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 100 ENV PE X 5 G (EMB HOSP) (SABOR ABACAXI); GOB
1542301850065; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 500 ENV PE X 5 G (EMB MULT) (SABOR ABACAXI); GOB
1542301850073; STOMALIV; STOMALIV; NOT FOUND; (430 + 430 + 100) MG/G PO EFERV CT 500 ENV PE X 5 G (EMB HOSP) (SABOR ABACAXI); GOB
1542301350011; SONARIN INFANTIL; SONARIN INFANTIL; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS AMB X 20 ML + CGT; GOB
1542301280013; SONARIN; SONARIN; NOT FOUND; 0.5 MG/ML SOL NAS FR PLAS TRANS GOT X 30 ML ; GOB
1542301350089; SONARIN; SONARIN; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS AMB X 30 ML + CGT; GOB
1542300220017; SODIX; SODIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20  ; GOB
1542300220051; SODIX; SODIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 500  (EMB HOSP); GOB
