1542300280011; NIOXIL; NIOXIL; NOT FOUND; 10MG CX C/30 COMP.; GOB
1542300280028; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT 2 BL AL PLAS AMB X 10; GOB
1542300280036; NIOXIL; NIOXIL; NOT FOUND; 10 MG COM CT 15 BL AL PLAS AMB X 30 (EMB HOSP); GOB
1542300280052; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT 15 BL AL PLAS AMB X 30 (EMB HOSP); GOB
1542300280044; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 30; GOB
1542300280044; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 30; GOB
1542300280028; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 20; GOB
1542300130050; NISOFLAN; NISOFLAN; NOT FOUND; 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 15 ML; GOB
1542300130069; NISOFLAN; NISOFLAN; NOT FOUND; 50 MG/ML SUSP OR CX 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); GOB
1542300130077; NISOFLAN; NISOFLAN; NOT FOUND; 50 MG/ML SUSP OR CX 100 FR PLAS OPC GOT X 15 ML (EMB HOSP); GOB
1542300130018; NISOFLAN; NISOFLAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12 ; GOB
1542300130026; NISOFLAN; NISOFLAN; NOT FOUND; 100 MG COM CT 40 BL AL PLAS INC X 12 (EMB HOSP); GOB
1542300620015; NISTATINA; NISTATINA; NISTATINA; 25.000 U.I./ G CREM VAG CT BG AL X 60 G + 14 APLIC; GOB
1542300620023; NISTATINA; NISTATINA; NISTATINA; 25.000 U.I./G CREM VAG CX 60 BG AL X 60 G + 840 APLIC (EMB HOSP); GOB
1542300620031; NISTATINA; NISTATINA; NISTATINA; 25.000 U.I./G CREM VAG CX 50 BG AL X 60 G + 700 APLIC (EMB HOSP); GOB
1542300910013; NISTRAZIN; NISTRAZIN; NOT FOUND; 25000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; GOB
1542300640016; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; GOB
1542300650011; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC; GOB
1542300640024; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CX 60 BG AL X 20 G (EMB HOSP); GOB
1542300650021; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CX 60 BG AL X 40 G + 420 APLIC (EMB HOSP); GOB
1542300960010; NITROZOL; NITROZOL; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; GOB
1542300520010; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; GOB
1542300550017; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; GOB
1542300520029; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT 60 BG AL X 28 G (EMB HOSP); GOB
1542300550025; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CX 60 BG AL X 80 G + 840 APLIC (EMB HOSP); GOB
