1542301260012; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542301260039; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542301260047; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CX 60 FR PEAD X 120 ML +  60 CP MED (EMB HOSP); GOB
1542301260012; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542301470025; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CT FR PLAS OPC X 60; GOB
1542301470051; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CT 50 FR PLAS OPC X 60; GOB
1542301470017; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CT FR PLAS OPC X 30; GOB
1542301470033; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CT FR PLAS OPC X 75; GOB
1542301470041; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CX 50 FR PLAS OPC X 30 (EMB HOSP); GOB
1542301470068; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CX 50 FR PLAS OPC X 75 (EMB HOSP); GOB
1542301540074; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 30 ; GOB
1542301540082; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 60 ; GOB
1542301540090; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 75; GOB
1542301540104; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 90; GOB
1542301540112; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CX 50 FR PLAS OPC X 30 (EMB HOSP); GOB
1542301540120; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CX 50 FR PLAS OPC X 75 (EMB HOSP); GOB
1542301540139; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CX 50 FR PLAS OPC X 90 (EMB HOSP); GOB
1542301540163; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CT FR PLAS OPC X 60; GOB
1542301540171; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CT FR PLAS OPC X 75; GOB
1542301540181; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CT FR PLAS OPC X 90; GOB
1542301540198; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 30 (EMB HOSP); GOB
1542301540201; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 60 (EMB HOSP); GOB
1542301540211; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 75 (EMB HOSP); GOB
1542301540228; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 90 (EMB HOSP); GOB
1542301540031; MIRACÁLCIO VIT D; MIRACALCIO VIT D; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 75; GOB
1542301880010; MAXIVIEW; MAXIVIEW; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CT FR PLAS OPC GOT X 5 ML; GOB
1542301880029; MAXIVIEW; MAXIVIEW; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542300510015; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; GOB
1542300510023; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300510031; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR PEAD X 120 ML + CP MED; GOB
1542300510041; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300300030; MENBEL; MENBEL; NOT FOUND; 20 MG/ML SUSP OR CT FR VD AMB X 30 ML; GOB
1542300300031; MENBEL; MENBEL; NOT FOUND; 20 MG/ML SUSP OR CT 60 FR VD AMB X 30 ML (EMB HOSP); GOB
1542300300088; MENBEL; MENBEL; NOT FOUND; 20 MG/ML SUSP OR CT 60 FR PEAD X 30 ML + 60 CP MED (EMB HOSP); GOB
1542300300071; MENBEL; MENBEL; NOT FOUND; 20 MG/ML SUSP OR CT FR PEAD X 30 ML; GOB
1542300690013; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; GOB
1542300690021; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 60 FR VD AMB X 30 ML + 60 CAP MED; GOB
1542300690031; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR PEAD X 30 ML + CP MED; GOB
1542300690048; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 60 FR PEAD X 30 ML + 60 CP MED (EMB HOSP); GOB
1542300300010; MENBEL; MENBEL; NOT FOUND; 100 MG COM CT 1 BL AL PLAS INC X 06 ; GOB
1542300300029; MENBEL; MENBEL; NOT FOUND; 100 MG COM CT 50 BL AL PLAS INC X 06 (EMB. HOSP); GOB
1542300300096; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC; GOB
1542300300118; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); GOB
1542300300101; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); GOB
1542300300126; MENBEL; MENBEL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); GOB
1542302100019; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 01 ; GOB
1542302100027; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); GOB
1542302100035; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); GOB
