1542300760011; CETADEX; CETADEX; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G ; GOB
1542300760021; CETADEX; CETADEX; NOT FOUND; 1 MG/G CREM DERM CX 60 BG AL X 10 G (EMB HOSP); GOB
1542300720011; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10.00 MG/G + 0.443 MG/G CT BG AL X 40 G; GOB
1542300770017; CETATEN-N; CETATEN N; NOT FOUND; 10 MG/G + 0.443 MG/G CREM DERM CT BG AL X 40 G; GOB
1542300770025; CETATEN-N; CETATEN N; NOT FOUND; 10 MG/G + 0.443 MG/G CREM DERM CX 60 BG AL X 40G (EMB HOSP); GOB
1542301400248; CISTEIL; CISTEIL; NOT FOUND; 120 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400256; CISTEIL; CISTEIL; NOT FOUND; 120 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400264; CISTEIL; CISTEIL; NOT FOUND; 120 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400094; CISTEIL; CISTEIL; NOT FOUND; 20 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G; GOB
1542301400108; CISTEIL; CISTEIL; NOT FOUND; 20 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G; GOB
1542301400116; CISTEIL; CISTEIL; NOT FOUND; 20 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400124; CISTEIL; CISTEIL; NOT FOUND; 20 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400132; CISTEIL; CISTEIL; NOT FOUND; 20 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400140; CISTEIL; CISTEIL; NOT FOUND; 20 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400159; CISTEIL; CISTEIL; NOT FOUND; 40 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G; GOB
1542301400167; CISTEIL; CISTEIL; NOT FOUND; 40 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G; GOB
1542301400175; CISTEIL; CISTEIL; NOT FOUND; 40 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400183; CISTEIL; CISTEIL; NOT FOUND; 40 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400191; CISTEIL; CISTEIL; NOT FOUND; 40 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400205; CISTEIL; CISTEIL; NOT FOUND; 40 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400213; CISTEIL; CISTEIL; NOT FOUND; 120 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G; GOB
