1542300330114; TELOL; TELOL; NOT FOUND; 100 MG COM CT 2 BL X 14; GOB
1542300330033; TELOL; TELOL; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 14 ; GOB
1542300330076; TELOL; TELOL; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14 ; GOB
1542300330041; TELOL; TELOL; NOT FOUND; 25 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP); GOB
1542300330084; TELOL; TELOL; NOT FOUND; 50 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP); GOB
1542300330122; TELOL; TELOL; NOT FOUND; 100 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP) ; GOB
1542300330017; TELOL; TELOL; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 10; GOB
1542300330092; TELOL; TELOL; NOT FOUND; 100 MG COM CT 3 BL AL PLAS INC X 10; GOB
1542300330051; TELOL; TELOL; NOT FOUND; 50 MG COM CT 3 BL AL PLAS INC X 10; GOB
1542301860028; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 30; GOB
1542301860036; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 60; GOB
1542301860044; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 450 (EMB HOSP); GOB
1542301860011; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 15 ; GOB
1542301860087; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 450 (EMB HOSP); GOB
1542301860052; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 15; GOB
1542301860060; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 30; GOB
1542301860079; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 60; GOB
1542300470012; TYLALGIN CAF; TYLALGIN CAF; NOT FOUND; 500 + 65 MG COM REV CT BL AL PLAS INC X 12; GOB
1542300470023; TYLALGIN CAF; TYLALGIN CAF; NOT FOUND; 500 + 65 MG COM REV CT BL AL PLAS INC X 100; GOB
1542300470034; TYLALGIN CAF; TYLALGIN CAF; NOT FOUND; 500 + 65 MG COM REV CT BL AL PLAS INC X 20; GOB
1542301360068; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
1542301360076; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP); GOB
1542301360084; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML; GOB
1542301360092; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 10 ML; GOB
1542301840019; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 20; GOB
1542301840027; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 30; GOB
1542301840035; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 100 (EMB HOSP); GOB
1542301840043; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 500 (EMB HOSP); GOB
1542300200067; TALURON; TALURON; NOT FOUND; 25 MG COMP. CT. 2 X 14; GOB
1542300200105; TALURON; TALURON; NOT FOUND; 50 MG COMP. CT. 2 X 14; GOB
1542300200032; TALURON; TALURON; NOT FOUND; 12.5 MG COM CT 3 BL AL PLAS INC X 14; GOB
1542300200075; TALURON; TALURON; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 14; GOB
1542300200113; TALURON; TALURON; NOT FOUND; 50 MG COM CT 3 BL AL PLAS INC X 14; GOB
1542300200024; TALURON; TALURON; NOT FOUND; 12.5 MG COM CT 02 BL AL PLAS INC X 14; GOB
1542300200040; TALURON; TALURON; NOT FOUND; 12.5 MG COM CT 35 BL AL PLAS INC X 14; GOB
1542300200083; TALURON; TALURON; NOT FOUND; 25 MG COM CT 35 BL AL PLAS INC X 14; GOB
1542300200121; TALURON; TALURON; NOT FOUND; 50 MG COM CT 35 BL AL PLAS INC X 14; GOB
1542300090016; TRAXONOL; TRAXONOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 04; GOB
1542300090032; TRAXONOL; TRAXONOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; GOB
1542300090040; TRAXONOL; TRAXONOL; NOT FOUND; 100 MG CAP GEL DURA CT 50 BL AL PLAS INC X 05 (EMBA HOSP); GOB
1542300370041; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CT BG AL X 50 G; GOB
1542300370053; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CX 60 BG AL X 50 G (EMB HOSP); GOB
1542300370078; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CT BG AL X 50 G + 10 APLIC; GOB
1542300370086; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CX 60 BG AL X 50 G (EMB HOSP) + 600 APLIC; GOB
1542300370094; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CX 50 BG AL X 50 G (EMB HOSP) + 500 APLIC; GOB
1542300370019; TRINODAZOL; TRINODAZOL; NOT FOUND; 250 MG COM CT 2 BL AL PVC X 10; GOB
1542300370035; TRINODAZOL; TRINODAZOL; NOT FOUND; 250 MG COM REV CT 50 BL AL PVC X 10 (EMBA HOSP); GOB
1542300970016; TRINODAZOL NISTATINA; TRINODAZOL NISTATINA; NOT FOUND; 100MG/G + 20.000UI/G CREM VAG CT BG AL X 50G + 10 APLIC DESC ; GOB
1542301150012; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC ; GOB
1542300080068; TYLALGIN; TYLALGIN; NOT FOUND; 160 MG/5ML SUS OR CT FR PET X 60 ML + COPO-MEDIDA; GOB
1542300080069; TYLALGIN; TYLALGIN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPACO X 15 ML; GOB
1542300080101; TYLALGIN; TYLALGIN; NOT FOUND; 160 MG / 5 ML SUS OR CT 60 FR PET INC X 60 ML + COPO-MEDIDA (EMB HOSP); GOB
1542300080063; TYLALGIN; TYLALGIN; NOT FOUND; 200 MG/ML SOL OR CT 60 FR PLAS OPC X 15 ML (EMB HOSP); GOB
1542300080177; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 50 SACH AL PE X 5 G (EMB MULT); GOB
1542300080150; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 2 SACH AL PE X 5 G; GOB
1542300080185; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 100 SACH AL PE X 5 G (EMB MULT); GOB
1542300080169; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 10 SACH AL PE X 5 G; GOB
1542300080193; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 200 SACH AL PE X 5 G (EMB MULT); GOB
1542300080045; TYLALGIN; TYLALGIN; NOT FOUND; 750 MG COM CT CX 50 BL AL PLAS AMB X 4 (EMB HOSP); GOB
1542300080029; TYLALGIN; TYLALGIN; NOT FOUND; 500 MG COM CT CX 50 BL AL PLAS INC X 4 ( EMB HOSP); GOB
1542300080118; TYLALGIN; TYLALGIN; NOT FOUND; 500 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP); GOB
1542300080053; TYLALGIN; TYLALGIN; NOT FOUND; 750 MG COM CT BL AL PLAS AMB X 20; GOB
1542300080126; TYLALGIN; TYLALGIN; NOT FOUND; 750 MG COM CT 50 BL AL PLAS AMB X 10 (EMB HOSP); GOB
