1542301160050; BRONTEK; BRONTEK; NOT FOUND; 10 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542301160069; BRONTEK; BRONTEK; NOT FOUND; 10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542301160077; BRONTEK; BRONTEK; NOT FOUND; 5 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542301160085; BRONTEK; BRONTEK; NOT FOUND; 5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542301160034; BRONTEK; BRONTEK; NOT FOUND; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542301160018; BRONTEK; BRONTEK; NOT FOUND; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542300100011; BESILAPIN; BESILAPIN; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 20; GOB
1542300100046; BESILAPIN; BESILAPIN; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 20; GOB
1542300100054; BESILAPIN; BESILAPIN; NOT FOUND; 10 MG COM CT 03 BL AL PLAS OPC X 10; GOB
1542300100021; BESILAPIN; BESILAPIN; NOT FOUND; 5 MG COM CT 03 BL AL PLAS OPC X 10; GOB
1542300100062; BESILAPIN; BESILAPIN; NOT FOUND; 10 MG COM CT 50 BL AL PLAS OPC X 10 (EMB HOSP); GOB
1542300100038; BESILAPIN; BESILAPIN; NOT FOUND; 5 MG COM CT 50 BL AL PLAS OPC X 10 (EMB HOSP); GOB
1542300100070; BESILAPIN; BESILAPIN; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 60; GOB
1542300100089; BESILAPIN; BESILAPIN; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 60; GOB
1542300100021; BESILAPIN; BESILAPIN; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 30; GOB
1542300100054; BESILAPIN; BESILAPIN; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; GOB
1542302070012; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 20 ; GOB
1542302070020; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 30; GOB
1542302070039; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 60; GOB
1542302070047; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CX BL AL PLAS OPC X 500 (EMB HOSP); GOB
1542302070055; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS OPC X 20; GOB
1542302070063; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS OPC X 30; GOB
1542302070071; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS OPC X 60; GOB
1542302070081; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CX BL AL PLAS OPC X 500 (EMB HOSP); GOB
1542302110014; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 2.5 ML; GOB
1542302110022; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 2.5 ML; GOB
1542302110030; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 3 ML; GOB
1542302110049; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 3 ML; GOB
1542302110057; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
1542302110065; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML; GOB
1542302110073; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 7.5 ML; GOB
1542302110081; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 7.5 ML; GOB
1542302080026; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 2.5 ML; GOB
1542302080018; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 2.5 ML ; GOB
1542302080034; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 3 ML; GOB
1542302080042; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 3 ML; GOB
1542302080050; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 5 ML; GOB
1542302080069; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 5 ML; GOB
1542302080077; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CT FR GOT  PLAS OPC X 7.5 ML; GOB
1542302080085; BIMAGAN; BIMAGAN; NOT FOUND; 0.3 MG/ML SOL OFT CX 50 FR GOT  PLAS OPC X 7.5 ML; GOB
1542300880033; BETRICORT; BETRICORT; NOT FOUND; 20MG/G + 0.64MG/G + 2.5MG/G CREM DERM CT BG AL X 30G   ; GOB
1542300880017; BETRICORT; BETRICORT; NOT FOUND; 20MG/G + 0.64MG/G + 2.5MG/G POM DERM CT BG AL X 30G  ; GOB
1542300880025; BETRICORT; BETRICORT; NOT FOUND; 20MG/G + 0.64MG/G + 2.5MG/G POM DERM CX 60 BG AL X 30G (EMB HOSP); GOB
1542301720137; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CT FR PEAD X 100 ML + CP MED; GOB
1542301720201; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CT FR PEAD X 100 ML + CP MED; GOB
1542301720226; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CT FR PEAD X 120 ML + CP MED; GOB
