529207202168316, DAIVOBET, DAIVOBET, NOT FOUND, 50 MCG/G + 0.5 MG/G POM DERM CT BG AL X 30 G, ROC
529207101167411, DAIVONEX, DAIVONEX, NOT FOUND, POMADA BISNAGA 30GR, ROC
529201402114318, DORMONID, DORMONID, NOT FOUND, 15MG COM CT 2 BL X 10, ROC
529201403110316, DORMONID, DORMONID, NOT FOUND, 15MG COM CT 3 BL X 10, ROC
529201404151318, DORMONID, DORMONID, NOT FOUND, 5 MG 5 AMP X 5 ML, ROC
529201401150310, DORMONID, DORMONID, NOT FOUND, 5 MG/ML SOL INJ CX C/ 5 AMP VD INC X 3 ML , ROC
529201405156313, DORMONID, DORMONID, NOT FOUND, 50 MG 5 AMP X 10 ML, ROC
529201406111313, DORMONID, DORMONID, NOT FOUND, 7.5MG COM CT 2 BL X 10, ROC
529201407116319, DORMONID, DORMONID, NOT FOUND, 7.5MG COM CT 3 BL X 10, ROC
529207202168316, DAIVOBET, DAIVOBET, NOT FOUND, 50 MCG/G + 0.5 MG/G POM DERM CT BG AL X 30 G, ROC
529207101167411, DAIVONEX, DAIVONEX, NOT FOUND, POMADA BISNAGA 30GR, ROC
529201402114318, DORMONID, DORMONID, NOT FOUND, 15MG COM CT 2 BL X 10, ROC
529201403110316, DORMONID, DORMONID, NOT FOUND, 15MG COM CT 3 BL X 10, ROC
529201404151318, DORMONID, DORMONID, NOT FOUND, 5 MG 5 AMP X 5 ML, ROC
529201401150310, DORMONID, DORMONID, NOT FOUND, 5 MG/ML SOL INJ CX C/ 5 AMP VD INC X 3 ML , ROC
529201405156313, DORMONID, DORMONID, NOT FOUND, 50 MG 5 AMP X 10 ML, ROC
529201406111313, DORMONID, DORMONID, NOT FOUND, 7.5MG COM CT 2 BL X 10, ROC
529201407116319, DORMONID, DORMONID, NOT FOUND, 7.5MG COM CT 3 BL X 10, ROC
529207202168316, DAIVOBET, DAIVOBET, NOT FOUND, 50 MCG/G + 0.5 MG/G POM DERM CT BG AL X 30 G, ROC
529207101167411, DAIVONEX, DAIVONEX, NOT FOUND, POMADA BISNAGA 30GR, ROC
