529205308155319, ROFERON A, ROFERON A, NOT FOUND, 9 MUI/0.5 ML SOL INJ CT SER PRE-ENCH VD INC X 0.5 ML + AG 16-5/10 , ROC
529205304151319, ROFERON A, ROFERON A, NOT FOUND, 3 MUI/0.5 ML SOL INJ CT SER PRE-ENCH VD INC X 0.5 ML + AG 16-5/10, ROC
529205306152312, ROFERON A, ROFERON A, NOT FOUND, 4.5 MUI/0.5 ML SOL INJ CT SER PRE-ENCH VD INC X 0.5 ML + AG 16-5/10 , ROC
529204402158212, RECORMON, RECORMON, NOT FOUND, 10.000 UI SOL INJ CT 6 SER PREENCHIDAS X 0.6 ML + 6 AGULHAS, ROC
529205001114311, ROCALTROL, ROCALTROL, NOT FOUND, 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30, ROC
529205101151314, ROCEFIN, ROCEFIN, NOT FOUND, 1 G IM PO ESTERIL CT FA VD INC + AMP DIL X 3.5 ML, ROC
529205104150319, ROCEFIN, ROCEFIN, NOT FOUND, 1 G IV PO ESTERIL CT FA VD INC + AMP DIL X 10 ML, ROC
529205102158312, ROCEFIN, ROCEFIN, NOT FOUND, 250 MG IM PO ESTERIL CT FA VD INC + AMP DIL X 2 ML, ROC
529205103154310, ROCEFIN, ROCEFIN, NOT FOUND, 500 MG IM PO ESTERIL CT FA VD INC + AMP DIL X 2 ML, ROC
529205105157317, ROCEFIN, ROCEFIN, NOT FOUND, 500 MG IV PO ESTERIL CT FA VD INC + AMP DIL X 5.0 ML, ROC
529204807115314, RIVOTRIL, RIVOTRIL, NOT FOUND, 0.25 MG COM SUB CT BL AL PLAST INC X 30, ROC
529204801117315, RIVOTRIL, RIVOTRIL, NOT FOUND, 0.5 MG COM CX BL AL PLAS INC X 20, ROC
529204802113313, RIVOTRIL, RIVOTRIL, NOT FOUND, 0.5 MG COM CX BL AL PLAS INC X 30, ROC
529204804116311, RIVOTRIL, RIVOTRIL, NOT FOUND, 2 MG COM CX BL AL PLAS INC X 20, ROC
529204805112318, RIVOTRIL, RIVOTRIL, NOT FOUND, 2 MG COM CX BL AL PLAS INC X 30, ROC
529204803136317, RIVOTRIL, RIVOTRIL, NOT FOUND, 2.5 MG/ML SOL OR CT FR VD CGT X 20 ML, ROC
529205401112314, ROHYPNOL, ROHYPNOL, NOT FOUND, 1 MG COM REV CT 2 BL AL PLAS INC X 10, ROC
529205402119312, ROHYPNOL, ROHYPNOL, NOT FOUND, 1 MG COM REV CT 3 BL AL PLAS INC X 10, ROC
529204901111319, ROACUTAN, ROACUTAN, NOT FOUND, 10 MG CAP GEL MOLE CT BL AL X 30, ROC
529204902118317, ROACUTAN, ROACUTAN, NOT FOUND, 20 MG CAP GEL MOLE CT BL AL X 30, ROC
