529204301157318, PULMOZYME, PULMOZYME, NOT FOUND, 1 MG/ML SOL P/ INALACAO CX 6 AMP PLAS X 2.5 ML, ROC
529204004152214, PEGASYS, PEGASYS, NOT FOUND, 135 MCG SOL INJ CT 1 SER PREENCHIDA VD INC 0.5 ML, ROC
529204005159212, PEGASYS, PEGASYS, NOT FOUND, 135 MCG SOL INJ CT 4 SER PREENCHIDAS VD INC 0.5 ML , ROC
529213100024903, PEGASYS, PEGASYS, NOT FOUND, 135 MCG SOL INJ CT 1 SER PREENC VD TRANS 0.5 ML X 1 CAN APLIC, ROC
529213100025003, PEGASYS, PEGASYS, NOT FOUND, 135 MCG SOL INJ CT 4 SER PREENC VD TRANS 0.5 ML X 4 CAN APLIC, ROC
529213100025103, PEGASYS, PEGASYS, NOT FOUND, 135 MCG SOL INJ CT 12 SER PREENC VD TRANS 0.5 ML X 12 CAN APLIC, ROC
529204002151210, PEGASYS, PEGASYS, NOT FOUND, 180 MCG SOL INJ CT 1 SER PREENCHIDA VD INC 0.5 ML , ROC
529204003156216, PEGASYS, PEGASYS, NOT FOUND, 180 MCG SOL INJ CT 4 SER PREENCHIDAS VD INC 0.5 ML , ROC
529213100024603, PEGASYS, PEGASYS, NOT FOUND, 180 MCG SOL INJ CT 1 SER PREENC VD TRANS 0.5 ML X 1 CAN APLIC, ROC
529213100024703, PEGASYS, PEGASYS, NOT FOUND, 180 MCG SOL INJ CT 4 SER PREENC VD TRANS 0.5 ML X 4 CAN APLIC, ROC
529213100024803, PEGASYS, PEGASYS, NOT FOUND, 180 MCG SOL INJ CT 12 SER PREENC VD TRANS 0.5 ML X 12 CAN APLIC, ROC
529208201173314, PEGASYS RBV, PEGASYS RBV, NOT FOUND, 135 MCG SOL INJ CT SER VD PRE ENCH X 0.5ML + 200 MG COM REV FR PLAS OPC X 42, ROC
529208202171315, PEGASYS RBV, PEGASYS RBV, NOT FOUND, 135 MCG SOL INJ CT 4 SER VD PRE ENCH X 0.5ML +  200 MG COM REV FR PLAS OPC X 168, ROC
529208203176310, PEGASYS RBV, PEGASYS RBV, NOT FOUND, 180 MCG SOL INJ CT 4 SER VD PRE ENCH X 0.5ML + 200 MG COM REV FR PLAS OPC X 168, ROC
529208204172319, PEGASYS RBV, PEGASYS RBV, NOT FOUND, 180 MCG SOL INJ CT SER VD PRE ENCH X 0.5ML + 200 MG COM REV FR PLAS OPC X 42, ROC
529204101115311, PROLOPA, PROLOPA, NOT FOUND, 100 MG + 25 MG COM DISP CT FR VD AMB X 30, ROC
529204103118316, PROLOPA, PROLOPA, NOT FOUND, 100 MG + 25 MG CAP GELAT DURA LIB PROL CT FR VD AMB X 30, ROC
529212090024203, PROLOPA, PROLOPA, NOT FOUND, 100 MG + 25 MG COM CT FR VD AMB X 30 , ROC
529212090024303, PROLOPA, PROLOPA, NOT FOUND, 100 MG + 25 MG COM CT FR VD AMB X 60, ROC
529212090024403, PROLOPA, PROLOPA, NOT FOUND, 100 MG + 25 MG COM CT FR VD AMB X 90, ROC
529214080025905, PROLOPA, PROLOPA, NOT FOUND, 200 MG + 50 MG COM CAM TRIPLA LIB MOD CT FR VD AMB X 30, ROC
529204102111318, PROLOPA, PROLOPA, NOT FOUND, 200 MG + 50 MG COM CT FR VD AMB X 30, ROC
529213110025202, PERJETA, PERJETA, NOT FOUND, 420 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML, ROC
529214020025305, PERJETA HER, PERJETA HER, NOT FOUND, 420 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML + 440 MG PO LIOF SOL INJ IV CT FA VD TRANS + DIL FA VD TRANS X 20 ML, ROC
