529208302158213; MIRCERA; MIRCERA; NOT FOUND; 100 MCG/0.3 ML SOL INJ CT SER VD INC PREENCH X 0.3ML; ROC
529208303154211; MIRCERA; MIRCERA; NOT FOUND; 120 MCG / 0.3 ML SOL INJ CT SER VD INC PREENCH X 0.3 ML; ROC
529208304150211; MIRCERA; MIRCERA; NOT FOUND; 150 MCG/0.3 ML SOL INJ CT SER VD INC PREENCH X 0.3ML; ROC
529208305157218; MIRCERA; MIRCERA; NOT FOUND; 200 MCG/0.3 ML SOL INJ CT SER VD INC PREENCH X 0.3 ML; ROC
529208306153216; MIRCERA; MIRCERA; NOT FOUND; 250 MCG/0.3 ML SOL INJ CT SER VD INC PREENCH X 0.3 ML; ROC
529208309152210; MIRCERA; MIRCERA; NOT FOUND; 75 MCG/0.3 ML SOL INJ CT SER VD PREENCH X 0.3ML; ROC
529208301151215; MIRCERA; MIRCERA; NOT FOUND; 30 MCG / 0.3 ML SOL INJ CT SER VD INC PREENCH X 0.3 ML; ROC
529208307151217; MIRCERA; MIRCERA; NOT FOUND; 360 MCG / 0.6 ML SOL INJ CT SER VD INC PREENCH X 0.6 ML; ROC
529208308156212; MIRCERA; MIRCERA; NOT FOUND; 50 MCG/0.3 ML SOL INJ CT SER PREENCH X 0.3 ML; ROC
529203401115317; MARCOUMAR; MARCOUMAR; NOT FOUND; 3 MG COM FR VD AMB X 25; ROC
529203402111315; MARCOUMAR; MARCOUMAR; NOT FOUND; 3 MG COM CT 3 BL AL PLAS INC X 10; ROC
529203301153217; MABTHERA; MABTHERA; NOT FOUND; 10MG/ML SOL INJ P/INF IV CT 2 FR VD INC X 10 ML (REST HOSP); ROC
529203302151218; MABTHERA; MABTHERA; NOT FOUND; 10 MG/ML SOL INJ P/ INF IV CT 1 FR VD INC X 50 ML (REST HOSP); ROC
