529200306138319, BACTRIM, BACTRIM, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML , ROC
529200301111315, BACTRIM, BACTRIM, NOT FOUND, CX C/ 2 BL X 10 (SMALL SIZE) FH, ROC
529200302116310, BACTRIM, BACTRIM, NOT FOUND, F COM CX C/ 2 BL X 5 COMP, ROC
529200304135312, BACTRIM, BACTRIM, NOT FOUND, F SUSP FR C/ 100 ML, ROC
529200305158316, BACTRIM, BACTRIM, NOT FOUND, IV CX C/50 AMP X 5 ML, ROC
529200307134317, BACTRIM, BACTRIM, NOT FOUND, SUSP PEDIATRICA FR C/ 50 ML, ROC
529208402152217, BONDRONAT, BONDRONAT, NOT FOUND, 1 MG/ML SOL INJ P/INF IV CT 5 FA VD INC X 6 ML, ROC
529208401156219, BONDRONAT, BONDRONAT, NOT FOUND, 1 MG/ML SOL INJ P/INF IV CT FA VD INC X 6 ML, ROC
529207801118219, BONVIVA, BONVIVA, NOT FOUND, 150 MG COM REV CT BL ALU/ALU X 1, ROC
529207805156212, BONVIVA, BONVIVA, NOT FOUND, 3 MG SOL INJ CT 1 SER PREENCH VD INC X 3 ML, ROC
529200306138319, BACTRIM, BACTRIM, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML , ROC
529200301111315, BACTRIM, BACTRIM, NOT FOUND, CX C/ 2 BL X 10 (SMALL SIZE) FH, ROC
529200302116310, BACTRIM, BACTRIM, NOT FOUND, F COM CX C/ 2 BL X 5 COMP, ROC
529200304135312, BACTRIM, BACTRIM, NOT FOUND, F SUSP FR C/ 100 ML, ROC
529200305158316, BACTRIM, BACTRIM, NOT FOUND, IV CX C/50 AMP X 5 ML, ROC
529200307134317, BACTRIM, BACTRIM, NOT FOUND, SUSP PEDIATRICA FR C/ 50 ML, ROC
529208402152217, BONDRONAT, BONDRONAT, NOT FOUND, 1 MG/ML SOL INJ P/INF IV CT 5 FA VD INC X 6 ML, ROC
529208401156219, BONDRONAT, BONDRONAT, NOT FOUND, 1 MG/ML SOL INJ P/INF IV CT FA VD INC X 6 ML, ROC
529207801118219, BONVIVA, BONVIVA, NOT FOUND, 150 MG COM REV CT BL ALU/ALU X 1, ROC
529207805156212, BONVIVA, BONVIVA, NOT FOUND, 3 MG SOL INJ CT 1 SER PREENCH VD INC X 3 ML, ROC
529200306138319, BACTRIM, BACTRIM, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML , ROC
529200301111315, BACTRIM, BACTRIM, NOT FOUND, CX C/ 2 BL X 10 (SMALL SIZE) FH, ROC
529200302116310, BACTRIM, BACTRIM, NOT FOUND, F COM CX C/ 2 BL X 5 COMP, ROC
529200304135312, BACTRIM, BACTRIM, NOT FOUND, F SUSP FR C/ 100 ML, ROC
529200305158316, BACTRIM, BACTRIM, NOT FOUND, IV CX C/50 AMP X 5 ML, ROC
529200307134317, BACTRIM, BACTRIM, NOT FOUND, SUSP PEDIATRICA FR C/ 50 ML, ROC
529208402152217, BONDRONAT, BONDRONAT, NOT FOUND, 1 MG/ML SOL INJ P/INF IV CT 5 FA VD INC X 6 ML, ROC
529208401156219, BONDRONAT, BONDRONAT, NOT FOUND, 1 MG/ML SOL INJ P/INF IV CT FA VD INC X 6 ML, ROC
529207801118219, BONVIVA, BONVIVA, NOT FOUND, 150 MG COM REV CT BL ALU/ALU X 1, ROC
