69397; TALURON ; TALURON; NOT FOUND; CPR 12.5 MG x 42; GOB
69401; TALURON ; TALURON; NOT FOUND; CPR 50 MG x 42; GOB
77112; TAR BRIMONIDINA MG ; TAR BRIMONIDINA; NOT FOUND; SOLN OFTAL 1.50 MG 5 ML x 1; GOB
77113; TAR BRIMONIDINA MG ; TAR BRIMONIDINA; NOT FOUND; SOLN OFTAL 2 MG 5 ML x 1; GOB
109654; TASULIL ; TASULIL; NOT FOUND; CAPS GEL LP 0.40 MG x 30; GOB
64960; TELOL ; TELOL; NOT FOUND; CPR 100 MG x 28; GOB
70326; TELOL ; TELOL; NOT FOUND; CPR 100 MG x 420; GOB
64958; TELOL ; TELOL; NOT FOUND; CPR 25 MG x 28; GOB
85424; TELOL ; TELOL; NOT FOUND; CPR 25 MG x 30; GOB
68548; TELOL ; TELOL; NOT FOUND; CPR 25 MG x 420; GOB
64959; TELOL ; TELOL; NOT FOUND; CPR 50 MG x 28; GOB
85423; TELOL ; TELOL; NOT FOUND; CPR 50 MG x 30; GOB
68549; TELOL ; TELOL; NOT FOUND; CPR 50 MG x 420; GOB
120322; TELOL C ; TELOL C; NOT FOUND; CPR 100 MG x 30 (/25); GOB
120325; TELOL C ; TELOL C; NOT FOUND; CPR 50 MG x 30 (/12); GOB
74980; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 45 G x 1; GOB
73909; TININ ; TININ; NOT FOUND; CR.VAG.7 APL 35 G x 1; GOB
74244; TIOCO+TINIDAZOL MG ; TIOCO TINIDAZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; GOB
64977; TITENIL ; TITENIL; NOT FOUND; CPR 20 MG x 10; GOB
63232; TRAXONOL ; TRAXONOL; NOT FOUND; CAPS 100 MG x 15; GOB
63231; TRAXONOL ; TRAXONOL; NOT FOUND; CAPS 100 MG x 4; GOB
64981; TRINODAZOL ; TRINODAZOL; NOT FOUND; CPR 250 MG x 20; GOB
68681; TRINODAZOL ; TRINODAZOL; NOT FOUND; GEL. VAG. 100 MG 50 G x 1 (/G); GOB
73791; TRINODAZOL ; TRINODAZOL; NOT FOUND; GEL. VAG. 100 MG 50 G x 60 (/G); GOB
75338; TRINODAZOL NISTATI ; TRINODAZOL NISTATI; NOT FOUND; CR.VAG.10APL 5 G 50 G x 1; GOB
71952; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 500 MG x 200; GOB
68075; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 750 MG x 20; GOB
64982; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 750 MG x 200; GOB
72903; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 750 MG x 500; GOB
68073; TYLALGIN ; TYLALGIN; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); GOB
77818; TYLALGIN ; TYLALGIN; NOT FOUND; SACHETS 500 MG 5 G x 50; GOB
68074; TYLALGIN ; TYLALGIN; NOT FOUND; SUSP ORAL 160 MG 60 ML x 1 (/5ML); GOB
71104; TYLALGIN CAF ; TYLALGIN CAF; NOT FOUND; CPR 500 MG x 100 (/65); GOB
71105; TYLALGIN CAF ; TYLALGIN CAF; NOT FOUND; CPR 500 MG x 20 (/65); GOB
