73095; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME 1 MG 10 G x 1 (/G); GOB
74930; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); GOB
74931; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); GOB
131059; ACET.PREDNISOLO.MG ; ACET PREDNISOLO; ACETATO PREDNISOLONA; SUS OFTAL 10 MG 5 ML x 1 (/ML); GOB
76273; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE ADLT 40 MG 120 ML x 1 (/ML); GOB
76194; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE INF. 20 MG 120 ML x 1 (/ML); GOB
75587; ACETON.TRIANCIN.MG ; ACETON TRIANCIN; NOT FOUND; POM.BUCAL 1 MG 10 G x 1 (/G); GOB
69899; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); GOB
68359; ALBEL ; ALBEL; NOT FOUND; CPR 400 MG x 1; GOB
70424; ALBEL ; ALBEL; NOT FOUND; CPR 400 MG x 500; GOB
68360; ALBEL ; ALBEL; NOT FOUND; SUSP 200 MG 10 ML x 1 (/5ML); GOB
84480; ALBEL ; ALBEL; NOT FOUND; SUSP 40 MG 10 ML x 60 (/ML); GOB
75966; ALPHABRIN ; ALPHABRIN; NOT FOUND; SOLN OFTAL 2 MG 5 ML x 1 (/ML); GOB
75967; ALPHABRIN ; ALPHABRIN; NOT FOUND; SOLN OFTAL P 1.50 MG 5 ML x 1 (/ML); GOB
64832; AMIORON ; AMIORON; NOT FOUND; CPR 100 MG x 20; GOB
76587; AMIORON ; AMIORON; NOT FOUND; CPR 100 MG x 500; GOB
64833; AMIORON ; AMIORON; NOT FOUND; CPR 200 MG x 20; GOB
67439; AMIORON ; AMIORON; NOT FOUND; CPR 200 MG x 500; GOB
92655; ARARTAN ; ARARTAN; NOT FOUND; CPR REVEST 100 MG x 30; GOB
92705; ARARTAN ; ARARTAN; NOT FOUND; CPR REVEST 50 MG x 30; GOB
106123; ARGEVIT C ; ARGEVIT C; NOT FOUND; PO EFERV LAR 4 G x 10; GOB
106124; ARGEVIT C ; ARGEVIT C; NOT FOUND; PO EFERV LAR 4 G x 50; GOB
120313; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 100 MG x 30 (/25); GOB
120314; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 50 MG x 30 (/12); GOB
95434; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 100; GOB
107744; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 150; GOB
83338; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; GOB
