65236; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; XAR. 120 ML x 1; U_Q
105210; MALEATO TIMOLOL MG ; MALEATO TIMOLOL; MALEATO TIMOLOL; SOL OFTAL 5 MG 5 ML x 1 (/ML); U_Q
117576; MAMYDRAT ; MAMYDRAT; NOT FOUND; CREME S/PERF 120 G x 1; U_Q
83468; MAMYDRAT ; MAMYDRAT; NOT FOUND; CREME. 120 G x 1; U_Q
86037; MAMYLAN ; MAMYLAN; NOT FOUND; POM. 30 G x 1; U_Q
49121; MAX PAX ; MAX PAX; NOT FOUND; CPR 2 MG x 20; U_Q
73187; MAXINOM ; MAXINOM; NOT FOUND; POM. OFTAL 3.50 G x 1; U_Q
73188; MAXINOM ; MAXINOM; NOT FOUND; SUSP OFTAL 5 ML x 1; U_Q
54692; MAZITRON ; MAZITRON; NOT FOUND; CAPS 500 MG x 3; U_Q
63710; MIDAZOLAM MG ; MIDAZOLAM; MIDAZOLAM; AMP. 15 MG 3 ML x 5; U_Q
44134; MODERINE ; MODERINE; NOT FOUND; CPR x 20; U_Q
47745; MUCOFAN ; MUCOFAN; NOT FOUND; GOTAS 50 MG 20 ML x 1 (/ML); U_Q
31056; MUCOFAN ; MUCOFAN; NOT FOUND; XAR ADU 50 MG 100 ML x 1 (/ML); U_Q
31055; MUCOFAN ; MUCOFAN; NOT FOUND; XAR PED 20 MG 100 ML x 1 (/ML); U_Q
