50897; SCALID ; SCALID; NOT FOUND; CPR 100 MG x 12; U_Q
67418; SILGLOS ; SILGLOS; NOT FOUND; CREME 10 MG 30 G x 1 (/G); U_Q
67417; SILGLOS ; SILGLOS; NOT FOUND; CREME 10 MG 50 G x 1 (/G); U_Q
9562; SIRBEN ; SIRBEN; NOT FOUND; CPR 100 MG x 6; U_Q
9563; SIRBEN ; SIRBEN; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); U_Q
73340; SOLU CORTEF ; SOLU CORTEF; NOT FOUND; F.AMP 100 MG 2 ML x 50; U_Q
73341; SOLU CORTEF ; SOLU CORTEF; NOT FOUND; F.AMP 500 MG 4 ML x 50; U_Q
76344; STANDOR ; STANDOR; NOT FOUND; CPR 500 MG x 24; U_Q
74013; STER ; STER; NOT FOUND; SUSP OFTAL 10 MG 5 ML x 1; U_Q
85188; STER ; STER; NOT FOUND; SUSP OFTA MD 1.20 MG 10 ML x 1 (/ML); U_Q
54351; SUCCINIL COLIN ; SUCCINIL COLIN; NOT FOUND; F.AMP LIOF 100 MG x 1; U_Q
54352; SUCCINIL COLIN ; SUCCINIL COLIN; NOT FOUND; F.AMP LIOF 500 MG x 1; U_Q
59374; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; SOLN ORAL 100 ML x 1; U_Q
73857; SULFADIAZ.PRATA MG ; SULFADIAZ PRATA; SULFADIAZINA PRATA; CREME 10 MG 30 G x 1 (/G); U_Q
95792; SULFATO TERBUTA.MG ; SULFATO TERBUTA; SULFATO TERBUTALINA; AMP. 0.50 MG 1 ML x 50 (/ML); U_Q
71591; SULFATO TERBUTA.MG ; SULFATO TERBUTA; SULFATO TERBUTALINA; AMP. 0.50 MG 1 ML x 6; U_Q
