76784; GANCICLOTRAT ; GANCICLOTRAT; NOT FOUND; F.AMP LIOF 500 MG 10 ML x 1; U_Q
48351; GAVIZ ; GAVIZ; NOT FOUND; SUSP HORTELA 240 ML x 1; U_Q
48352; GAVIZ ; GAVIZ; NOT FOUND; SUSP MORANGO 240 ML x 1; U_Q
72803; GELO-BIO ; GELO BIO; NOT FOUND; AERO 150 ML x 1; U_Q
72802; GELO-BIO ; GELO BIO; NOT FOUND; AERO 60 ML x 1; U_Q
72804; GELO-BIO ; GELO BIO; NOT FOUND; POM. 20 G x 1; U_Q
49644; GELUSIL M ; GELUSIL M; NOT FOUND; LIQD 240 ML x 1; U_Q
50170; GELUSIL M ; GELUSIL M; NOT FOUND; SUSP MORANGO 240 ML x 1; U_Q
74773; GLAUB ; GLAUB; NOT FOUND; SOLN OFTAL 2 MG 5 ML x 1 (/ML); U_Q
68771; GLAUCOTRAT ; GLAUCOTRAT; NOT FOUND; SOLN OFTAL 0.25 % 5 ML x 1; U_Q
63687; GLAUCOTRAT ; GLAUCOTRAT; NOT FOUND; SOLN OFTAL 0.50 % 5 ML x 1; U_Q
72805; GLIBEMIDA ; GLIBEMIDA; NOT FOUND; CPR 5 MG x 30; U_Q
