28336, PANFUGAN , PANFUGAN, NOT FOUND, CAPS 100 MG x 8, U_Q
31844, PANFUGAN , PANFUGAN, NOT FOUND, SUSP ABACAXI 100 MG 40 ML x 1 (/5ML), U_Q
31845, PANFUGAN , PANFUGAN, NOT FOUND, SUSP MORANGO 100 MG 40 ML x 1 (/5ML), U_Q
64614, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, U_Q
64615, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, U_Q
64613, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), U_Q
66927, PAXTRAT , PAXTRAT, NOT FOUND, CPR REVEST 20 MG x 20, U_Q
73190, PAXTRAT , PAXTRAT, NOT FOUND, CPR REVEST 20 MG x 30, U_Q
72817, PERFENOL , PERFENOL, NOT FOUND, CAPS x 20, U_Q
92116, PERFENOL , PERFENOL, NOT FOUND, CAPS x 200, U_Q
58882, PILEM , PILEM, NOT FOUND, CPR 0.75 MG x 2, U_Q
59369, POLIDERMS , POLIDERMS, NOT FOUND, CREME 20 G x 1, U_Q
92537, PONDICILINA , PONDICILINA, NOT FOUND, PAST LARA x 12, U_Q
49557, PONDICILINA , PONDICILINA, NOT FOUND, PAST CEREJA x 12, U_Q
92534, PONDICILINA , PONDICILINA, NOT FOUND, PAST HORTELA x 12, U_Q
53537, PONDICILINA , PONDICILINA, NOT FOUND, PAST MEL LIM x 12, U_Q
49558, PONDICILINA , PONDICILINA, NOT FOUND, PAST MENTA x 12, U_Q
72479, PREDI-MEDROL , PREDI MEDROL, NOT FOUND, AMP. 40 MG 2 ML x 1 (/ML), U_Q
70620, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, U_Q
70619, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, U_Q
57793, PRO HAIR , PRO HAIR, NOT FOUND, CPR REVEST 1 MG x 30, U_Q
160502, PROCTS H , PROCTS H, NOT FOUND, POM C/APLIC 20 G x 1, U_Q
72731, PROPARK , PROPARK, NOT FOUND, CPR 2 MG x 75, U_Q
95775, PROSTMAN , PROSTMAN, NOT FOUND, CPR 50 MG x 20, U_Q
