159559, TANDRIFLAN , TANDRIFLAN, NOT FOUND, CPR x 100, U_Q
76625, TANDRIFLAN , TANDRIFLAN, NOT FOUND, CPR x 15, U_Q
59375, TANDRIFLAN , TANDRIFLAN, NOT FOUND, CPR x 30, U_Q
59376, TEFLAN , TEFLAN, NOT FOUND, CPR REVEST 20 MG x 10, U_Q
115933, TEFLAN , TEFLAN, NOT FOUND, CPR REVEST 20 MG x 5, U_Q
66793, TEFLAN , TEFLAN, NOT FOUND, F.AMP 20 MG x 50, U_Q
77114, TEFLAN , TEFLAN, NOT FOUND, F.AMP 40 MG x 50, U_Q
59377, TEFLAN , TEFLAN, NOT FOUND, F.AMP SOLV 20 MG 2 ML x 1, U_Q
68020, TEFLAN , TEFLAN, NOT FOUND, F.AMP SOLV 40 MG 2 ML x 5, U_Q
117578, TEIPLAN , TEIPLAN, NOT FOUND, F.AMP C/DILU 200 MG 3 ML x 1, U_Q
73040, TEIPLAN , TEIPLAN, NOT FOUND, F.AMP C/DILU 400 MG 3 ML x 1, U_Q
61296, TERBUTIL , TERBUTIL, NOT FOUND, AMP. 0.50 MG 1 ML x 50 (/ML), U_Q
61295, TERBUTIL , TERBUTIL, NOT FOUND, AMP. 0.50 MG 1 ML x 6 (/ML), U_Q
55800, TERMOL , TERMOL, NOT FOUND, CPR 750 MG x 200, U_Q
55801, TERMOL , TERMOL, NOT FOUND, GOTAS 200 MG 15 ML x 1 (/ML), U_Q
77728, TERTOP , TERTOP, NOT FOUND, CPR 250 MG x 14, U_Q
77727, TERTOP , TERTOP, NOT FOUND, CPR 250 MG x 28, U_Q
67423, TESS , TESS, NOT FOUND, CPR REVEST x 21, U_Q
59422, TINORAL , TINORAL, NOT FOUND, CPR REVEST 500 MG x 4, U_Q
57916, TOBRACORT , TOBRACORT, NOT FOUND, POM. OFTAL 3.50 G x 1, U_Q
58075, TOBRACORT , TOBRACORT, NOT FOUND, SUSP OFTAL 5 ML x 1, U_Q
57918, TOBRANOM , TOBRANOM, NOT FOUND, SOLN OFTAL 3 MG 5 ML x 1 (/ML), U_Q
66470, TOPCOID , TOPCOID, NOT FOUND, GEL. 0.50 % 40 G x 1, U_Q
52716, TRIOXINA , TRIOXINA, NOT FOUND, F.IM SOLV. 1 G 3.50 ML x 1, U_Q
74251, TRIOXINA , TRIOXINA, NOT FOUND, F.IV SOLV 1 G 10 ML x 50, U_Q
58650, TROPINOM , TROPINOM, NOT FOUND, COLIRIO 5 ML x 1, U_Q
