99520, LACRIFILM , LACRIFILM, NOT FOUND, SOLN OFTAL 5 MG 10 ML x 1 (/ML), U_Q
64580, LACRIFILM , LACRIFILM, NOT FOUND, SOLN OFTAL 5 MG 15 ML x 1 (/ML), U_Q
99521, LACRIFILM , LACRIFILM, NOT FOUND, SOLN OFTAL 5 MG 5 ML x 1 (/ML), U_Q
49648, LEIBA , LEIBA, NOT FOUND, CAPS 200 M x 12, U_Q
117573, LEIBA , LEIBA, NOT FOUND, CPR OD MASTI x 20, U_Q
117575, LEIBA , LEIBA, NOT FOUND, SACH.LARANJA 1 G x 6, U_Q
95798, LEIBA , LEIBA, NOT FOUND, SACH.LARANJA 4 G x 5, U_Q
54245, LIDOJET , LIDOJET, NOT FOUND, AMP.S/VASO 2 % 20 ML x 12, U_Q
67399, LIPTRAT , LIPTRAT, NOT FOUND, CPR REVEST 10 MG x 30, U_Q
72809, LISANTIL , LISANTIL, NOT FOUND, CPR x 12, U_Q
72810, LISANTIL , LISANTIL, NOT FOUND, CPR x 200, U_Q
72811, LISANTIL , LISANTIL, NOT FOUND, GOTAS 15 ML x 1, U_Q
62295, LORATADINA MG , LORATADINA, LORATADINA, XAROPE 1 MG 100 ML x 1 (/ML), U_Q
