78579; DCAL ; DCAL; NOT FOUND; CPR 600+D x 60; U_Q
152695; DCAL ; DCAL; NOT FOUND; PO EF 600+D3 5 G x 30; U_Q
59400; DECAN HALOPER ; DECAN HALOPER; DECANOATO HALOPERIDOL; A.IM 50 MG x 3 (/ML); U_Q
83731; DEMEDROX ; DEMEDROX; NOT FOUND; AMP. 150 MG 1 ML x 1; U_Q
120493; DEMEDROX ; DEMEDROX; NOT FOUND; SER PREENCH 150 MG 1 ML x 1 (/ML); U_Q
54653; DEPRESS ; DEPRESS; NOT FOUND; CAPS 20 MG x 14; U_Q
62000; DEPRESS ; DEPRESS; NOT FOUND; CAPS 20 MG x 28; U_Q
117570; DEPRESS ; DEPRESS; NOT FOUND; SOL ORAL 20 MG 30 ML x 1 (/ML); U_Q
89062; DERMA PREVENT ; DERMA PREVENT; NOT FOUND; CREME 45 G x 1; U_Q
161205; DERMOPANTOL ; DERMOPANTOL; NOT FOUND; CREME 20 G x 1; U_Q
30761; DERMS ; DERMS; NOT FOUND; POM. 30 G x 1; U_Q
54163; DESFRIN ; DESFRIN; NOT FOUND; GOTAS NASAL 0.25 % 10 ML x 1 (PAED); U_Q
54164; DESFRIN ; DESFRIN; NOT FOUND; SPRAY NASAL 0.50 MG 10 ML x 1 (/ML); U_Q
74771; DESLANOL ; DESLANOL; NOT FOUND; AMP. 0.20 MG 2 ML x 50 (/ML); U_Q
78837; DESODIOL ; DESODIOL; NOT FOUND; CPR 0.15 MG x 21 (/.03); U_Q
150197; DEXACOBAL ; DEXACOBAL; NOT FOUND; AMP A+B 3+3 3 ML x 3; U_Q
158167; DEXANEURIN ; DEXANEURIN; NOT FOUND; AMP. A+B 3 ML x 3; U_Q
32701; DEXANEURIN ; DEXANEURIN; NOT FOUND; AMP.A+B 3 ML x 1; U_Q
89937; DEXANOM ; DEXANOM; NOT FOUND; SUSP OFTAL 1 MG 5 ML x 1 (/ML); U_Q
61291; DIAFORMIN ; DIAFORMIN; NOT FOUND; CPR REVEST 850 MG x 30; U_Q
3208; DIAMOX ; DIAMOX; NOT FOUND; CPR 250 MG x 25; U_Q
64423; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; AMP. 10 MG 2 ML x 50; U_Q
51172; DICLO P ; DICLO P; DICLORIDRATO PROFLAVINA; CPR REVEST 50 MG x 20; U_Q
73819; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 11.6 MG 60 G x 1 (/G); U_Q
67967; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 75 MG 3 ML x 5; U_Q
64408; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 75 MG 3 ML x 50; U_Q
72797; DICLOFLOGIL ; DICLOFLOGIL; NOT FOUND; CPR REVEST 50 MG x 20; U_Q
57864; DICLOGENOM ; DICLOGENOM; NOT FOUND; POM. OFTAL 1 MG 3.50 G x 1 (/G); U_Q
57865; DICLOGENOM ; DICLOGENOM; NOT FOUND; SOLN OFTAL 1 MG 5 ML x 1 (/ML); U_Q
