63706, CAPOTRAT , CAPOTRAT, NOT FOUND, CPR 25 MG x 30, U_Q
74209, CAPOTRAT , CAPOTRAT, NOT FOUND, CPR 25 MG x 500, U_Q
63707, CAPOTRAT , CAPOTRAT, NOT FOUND, CPR 50 MG x 30, U_Q
74525, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, U_Q
74260, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, U_Q
70154, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, U_Q
71979, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 200, U_Q
70153, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 30, U_Q
72241, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, SUSP ORAL 20 MG 100 ML x 1 (/ML), U_Q
71635, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. AD 50 MG 100 ML x 1 (/ML), U_Q
71547, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. PED. 20 MG 100 ML x 1 (/ML), U_Q
72782, CARVEROL , CARVEROL, NOT FOUND, CPR 250 MG x 20, U_Q
75074, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CAPS 500 MG x 10, U_Q
75075, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CAPS 500 MG x 8, U_Q
75076, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, SUSP ORAL 250 MG 100 ML x 1 (/5ML), U_Q
76522, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, SUSP ORAL 250 MG 60 ML x 1 (/5ML), U_Q
73318, CEFALOTIL , CEFALOTIL, NOT FOUND, F.AMP S/DILU 1 G x 50, U_Q
72242, CEFAZOLINA SODI MG , CEFAZOLINA SODI, CEFAZOLINA SODICA, F.AMP 1 G x 50, U_Q
50838, CEFORAN , CEFORAN, NOT FOUND, F.AMP SOLV 1 G 4 ML x 1, U_Q
62290, CELESTRAT , CELESTRAT, NOT FOUND, CPR x 15, U_Q
62291, CELESTRAT , CELESTRAT, NOT FOUND, XAR. 120 ML x 1, U_Q
54832, CETAZ , CETAZ, NOT FOUND, F.AMP SOLV 1 G x 1, U_Q
58528, CETROLAC , CETROLAC, NOT FOUND, COLIRIO 5 MG 5 ML x 1 (/ML), U_Q
154130, CETROLAC MD , CETROLAC MD, NOT FOUND, COLIRIO 4 MG 10 ML x 1, U_Q
72787, CHOFRAFIG , CHOFRAFIG, NOT FOUND, FLACONETES 10 ML x 12, U_Q
72788, CHOFRAFIG , CHOFRAFIG, NOT FOUND, FLACONETES 10 ML x 60, U_Q
72786, CHOFRAFIG , CHOFRAFIG, NOT FOUND, LIQD 120 ML x 1, U_Q
161207, CICATRIGEL , CICATRIGEL, NOT FOUND, CREME 20 G x 1, U_Q
42511, CICLO 21 , CICLO 21, NOT FOUND, CPR x 21, U_Q
46441, CICLO 21 , CICLO 21, NOT FOUND, CPR x 21 X3, U_Q
74212, CICLOGYN , CICLOGYN, NOT FOUND, CPR REVEST x 21, U_Q
