84342; DAKTAZOL ; DAKTAZOL; NOT FOUND; CREME DERM 20 MG 28 GR x 1 (/G); N_Q
54510; DAKTAZOL ; DAKTAZOL; NOT FOUND; LOC.CREMOSA 0.02 % 30 ML x 1; N_Q
77239; DELLA ; DELLA; NOT FOUND; SAB LIQD INT 200 ML x 1; N_Q
62282; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.10 MG 120 ML x 1 (/ML); N_Q
59569; DEXANIL ; DEXANIL; NOT FOUND; AMP. 2 MG 1 ML x 2 (/ML); N_Q
59570; DEXANIL ; DEXANIL; NOT FOUND; AMP. 2 MG 1 ML x 50 (/ML); N_Q
59571; DEXANIL ; DEXANIL; NOT FOUND; AMP. 4 MG 2.50 ML x 1 (/M); N_Q
55732; DEXANIL ; DEXANIL; NOT FOUND; CR.NEOMICINA 15 G x 1 (/G); N_Q
77631; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 10 MG x 20; N_Q
77632; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 10 MG x 30; N_Q
77629; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 5 MG x 20; N_Q
77630; DIAZEPAM MG ; DIAZEPAM; DIAZEPAM; CPR 5 MG x 30; N_Q
62474; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 10 MG 60 G x 1 (/G); N_Q
77198; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR 50 MG x 10; N_Q
77200; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR 50 MG x 20; N_Q
77201; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR 50 MG x 240; N_Q
64766; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; A.IM 75 MG 3 ML x 50; N_Q
57250; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 25 MG 3 ML x 5 (/ML); N_Q
85428; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; N_Q
75290; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; SOLN OFTAL 1 MG 5 ML x 1 (/ML); N_Q
50595; DICLONACO ; DICLONACO; NOT FOUND; CPR REVEST 50 MG x 20; N_Q
75781; DIENZEPAX ; DIENZEPAX; NOT FOUND; CPR 10 MG x 20; N_Q
75780; DIENZEPAX ; DIENZEPAX; NOT FOUND; CPR 5 MG x 20; N_Q
55714; DIGESPRID ; DIGESPRID; NOT FOUND; CAPS 10 MG x 20; N_Q
55715; DIGESPRID ; DIGESPRID; NOT FOUND; GOTAS 4 MG 20 ML x 1 (/ML); N_Q
77157; DIGOXINA MG ; DIGOXINA; DIGOXINA; CPR 0.25 MG x 25; N_Q
74949; DIMETICONA MG ; DIMETICONA; DIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); N_Q
78192; DIP SOD+CAF MG ; DIP SOD CAF; NOT FOUND; CPR x 100; N_Q
78193; DIP SOD+CAF MG ; DIP SOD CAF; NOT FOUND; CPR x 16; N_Q
66286; DIP.BET+FOS.BET MG ; DIP BET FOS BET; NOT FOUND; AMP. S/SE 5 MG 1 ML x 1 (/ML); N_Q
56571; DIPIRONA SO.INJ MG ; DIPIRONA SO INJ; NOT FOUND; AMP. 500 MG 2 ML x 50 (/ML); N_Q
78855; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 1 G x 10; N_Q
78857; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 1 G x 100; N_Q
62475; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 100; N_Q
56572; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); N_Q
72552; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); N_Q
59574; DIURETIL ; DIURETIL; NOT FOUND; CPR 50 MG x 20; N_Q
53476; DORALGINA ; DORALGINA; NOT FOUND; DRAG x 100; N_Q
55522; DORALGINA ; DORALGINA; NOT FOUND; DRAG x 20; N_Q
59575; DORALGINA ; DORALGINA; NOT FOUND; GOTAS 15 ML x 1; N_Q
49187; DORONA ; DORONA; NOT FOUND; CPR 500 MG x 100; N_Q
92722; DORONA CAFI ; DORONA CAFI; NOT FOUND; CPR x 100; N_Q
92720; DORONA CAFI ; DORONA CAFI; NOT FOUND; CPR x 16; N_Q
66307; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. AD 3 MG 120 ML x 1 (/ML); N_Q
66308; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. PED. 1.50 MG 120 ML x 1 (/ML); N_Q
46386; DUCTELMIN ; DUCTELMIN; NOT FOUND; CPR 100 MG x 6; N_Q
46387; DUCTELMIN ; DUCTELMIN; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); N_Q
59601; DUCTOGEL ; DUCTOGEL; NOT FOUND; CPR MASC 300 MG x 24; N_Q
59602; DUCTOGEL ; DUCTOGEL; NOT FOUND; SUSP 150 ML x 1; N_Q
58238; DUCTOPRIL ; DUCTOPRIL; NOT FOUND; CPR 25 MG x 16; N_Q
70053; DUCTOPRIL ; DUCTOPRIL; NOT FOUND; CPR 25 MG x 32; N_Q
53477; DUCTOVERAN ; DUCTOVERAN; NOT FOUND; GOTAS ORAL 25 ML x 1; N_Q
61163; DUCTOVIRAX ; DUCTOVIRAX; NOT FOUND; CPR 200 MG x 25; N_Q
61180; DUCTOVIRAX ; DUCTOVIRAX; NOT FOUND; CREME 50 MG 10 G x 1 (/G); N_Q
