77497; TAR BRIMONIDINA MG ; TAR BRIMONIDINA; NOT FOUND; SOLN OFTAL 2 MG 5 ML x 1 (/ML); N_Q
57229; TEGREX ; TEGREX; NOT FOUND; CPR 200 MG x 20; N_Q
75582; TENOXICAM MG ; TENOXICAM; TENOXICAM; CPR REVEST 20 MG x 10; N_Q
56531; TENSALIV ; TENSALIV; NOT FOUND; CPR 10 MG x 20; N_Q
93516; TENSALIV ; TENSALIV; NOT FOUND; CPR 10 MG x 30; N_Q
93365; TENSALIV ; TENSALIV; NOT FOUND; CPR 5 MG x 30; N_Q
54561; TENSALIV ; TENSALIV; NOT FOUND; DRAG 5 MG x 20; N_Q
85710; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; CPR 1 G x 10; N_Q
85708; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; CPR 1 G x 100; N_Q
47545; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; CPR 500 MG x 100; N_Q
34000; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); N_Q
67422; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; GOTAS 500 MG 10 ML x 10 (/ML); N_Q
68790; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); N_Q
56712; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; GOTAS LARANJ 500 MG 10 ML x 1 (/ML); N_Q
96541; TERMOPIRONA ; TERMOPIRONA; NOT FOUND; SOL ORAL. 50 MG 100 ML x 1 (/ML); N_Q
50972; TERMOPIRONA INJETA ; TERMOPIRONA INJETA; NOT FOUND; AMP. 1 G 2 ML x 50 (/ML); N_Q
52323; TIAMIN ; TIAMIN; NOT FOUND; GOTAS 30 ML x 1; N_Q
33818; TIAMIN ; TIAMIN; NOT FOUND; XAROPE 100 ML x 1; N_Q
49785; TIAMIN INJETAVEL ; TIAMIN INJETAVEL; NOT FOUND; AMP. 2 ML x 50; N_Q
62794; TIBIAL ; TIBIAL; NOT FOUND; CPR 2.50 MG x 28; N_Q
101665; TIBOLONA MG ; TIBOLONA; TIBOLONA; CPR 2.50 MG x 28; N_Q
75961; TILOXINEO ; TILOXINEO; NOT FOUND; CPR REVEST 20 MG x 10; N_Q
73204; TILUGEN ; TILUGEN; NOT FOUND; XAR. 3.54 MG 120 MG x 1 (/ML); N_Q
73860; TIMONEO ; TIMONEO; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); N_Q
112015; TIMOSOPT ; TIMOSOPT; NOT FOUND; SOL OFTAL 5 ML x 1; N_Q
87522; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 40 G x 1; N_Q
72902; TIOCO+TINIDAZOL MG ; TIOCO TINIDAZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; N_Q
62388; TIROIDIN ; TIROIDIN; NOT FOUND; CPR 100 Y x 30; N_Q
104583; TOBRAMICINA MG ; TOBRAMICINA; TOBRAMICINA; SOL OFTAL 3 MG 5 ML x 1 (/ML); N_Q
84452; TOPLIV ; TOPLIV; NOT FOUND; CREME. 1 MG 20 G x 1 (/G); N_Q
57313; TORSILAX ; TORSILAX; NOT FOUND; CPR REVEST x 100; N_Q
78610; TORSILAX ; TORSILAX; NOT FOUND; CPR REVEST x 12; N_Q
55496; TORSILAX ; TORSILAX; NOT FOUND; CPR REVEST x 30; N_Q
69497; TRAMADEN ; TRAMADEN; NOT FOUND; CAPS 50 MG x 10; N_Q
73586; TYNEO ; TYNEO; NOT FOUND; CPR 750 MG x 100; N_Q
73587; TYNEO ; TYNEO; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); N_Q
