62760; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; CREME 20 G x 1; N_Q
68792; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; POM.DERMAT 20 G x 1; N_Q
63771; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; CREME 1.22 MG 30 G x 1 (/G); N_Q
67086; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 30 G x 1 (/G); N_Q
73616; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; SOLN CAPIL 50 ML x 1; N_Q
145103; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 160 MG x 30; N_Q
145104; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 320 MG x 30; N_Q
145101; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 30; N_Q
56867; VASODIPINA ; VASODIPINA; NOT FOUND; CPR REVEST 30 MG x 30; N_Q
112694; VASODIPINA ; VASODIPINA; NOT FOUND; CPR REVEST 30 MG x 500; N_Q
59325; VERAMIL ; VERAMIL; NOT FOUND; CPR 80 MG x 30; N_Q
61995; VERTIGIUM ; VERTIGIUM; NOT FOUND; CPR 10 MG x 50; N_Q
76095; VERUF ; VERUF; NOT FOUND; CREME 20 MG 15 G x 1 (/G); N_Q
85222; VIRINEO ; VIRINEO; NOT FOUND; CPR REVEST 100 MG x 4; N_Q
85247; VIRINEO ; VIRINEO; NOT FOUND; CPR REVEST 25 MG x 4; N_Q
85213; VIRINEO ; VIRINEO; NOT FOUND; CPR REVEST 50 MG x 1; N_Q
85215; VIRINEO ; VIRINEO; NOT FOUND; CPR REVEST 50 MG x 2; N_Q
85218; VIRINEO ; VIRINEO; NOT FOUND; CPR REVEST 50 MG x 4; N_Q
85221; VIRINEO ; VIRINEO; NOT FOUND; CPR REVEST 50 MG x 8; N_Q
59621; VISAZUL ; VISAZUL; NOT FOUND; SOLN OFTAL 20 ML x 1; N_Q
59331; VITALITAN ; VITALITAN; NOT FOUND; CPR RECUB. x 30; N_Q
76437; VITAMINA B1 ; VITAMINA B1; NOT FOUND; CPR REVEST 300 MG x 30; N_Q
70513; VULNAGEN ; VULNAGEN; NOT FOUND; CR.VAG.7 APL 35 G x 1; N_Q
