50133; SALICIL ; SALICIL; NOT FOUND; CPR 100 MG x 200 (INF); N_Q
50134; SALICIL ; SALICIL; NOT FOUND; CPR 500 MG x 200 (ADLT); N_Q
65576; SANAGAS ; SANAGAS; NOT FOUND; CPR 40 MG x 20; N_Q
59629; SANAGAS ; SANAGAS; NOT FOUND; GOTAS 75 MG 10 ML x 1 (/ML); N_Q
57656; SECNIDALIN ; SECNIDALIN; NOT FOUND; CAPS 1 G x 2; N_Q
57655; SECNIDALIN ; SECNIDALIN; NOT FOUND; CAPS 500 MG x 4; N_Q
57657; SECNIDALIN ; SECNIDALIN; NOT FOUND; PO P/SUSP 450 MG 15 ML x 1; N_Q
57658; SECNIDALIN ; SECNIDALIN; NOT FOUND; PO P/SUSP 900 MG 30 ML x 1; N_Q
64739; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1 G x 2; N_Q
67882; SENSIBABY ; SENSIBABY; NOT FOUND; POM. 45 G x 1; N_Q
57806; SENSIDERME ; SENSIDERME; NOT FOUND; POM. 2 MG 30 G x 1 (/G); N_Q
65577; SERTRALIN ; SERTRALIN; NOT FOUND; CPR REVEST 50 MG x 28; N_Q
78437; SERTRALIN ; SERTRALIN; NOT FOUND; CPR REVEST 50 MG x 500; N_Q
76093; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; N_Q
58784; SORONEO ; SORONEO; NOT FOUND; SOLN NASAL 30 ML x 1; N_Q
68978; SULF GENTAMICIN MG ; SULF GENTAMICIN; NOT FOUND; AMP. 20 MG 1 ML x 50 (/ML); N_Q
61452; SULF GENTAMICIN MG ; SULF GENTAMICIN; NOT FOUND; AMP. 40 MG 2 ML x 1 (/ML); N_Q
73311; SULF GENTAMICIN MG ; SULF GENTAMICIN; NOT FOUND; AMP. 40 MG 2 ML x 2 (/ML); N_Q
56526; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAROPE 2 MG 120 ML x 1 (/5ML); N_Q
85415; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 15 G x 1; N_Q
66333; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; SUSP ORAL 40 MG 100 ML x 1 (/8); N_Q
66332; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; SUSP ORAL 40 MG 60 ML x 1 (/8); N_Q
