507722401115412, SECNAXIDOL, SECNAXIDOL, NOT FOUND, 1G 1 BL X 2 COMP, E3S
507728701137119, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 15ML, E3S
507728702133117, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 30ML, E3S
507741302119416, SIBUCTIL, SIBUCTIL, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507741301112418, SIBUCTIL, SIBUCTIL, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507722505115117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507722502116112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10MG 3 BL X 10 COMP, E3S
507722603117416, SINVATROX, SINVATROX, NOT FOUND, 20MG 3 BL X 10 COMP, E3S
507722801172413, STILUX, STILUX, NOT FOUND, FR C/20ML, E3S
507739501177112, SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA, SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA, NOT FOUND, 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML, E3S
507732801159112, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 0.2 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732802155110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 1 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP), E3S
507732803151119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732804131111, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL OR CT FR VD AMB X 60 ML + CGT , E3S
507736901131115, SULFATO DE SALBUTAMOL + GUAIFENESINA, SULFATO SALBUTAMOL GUAIFENESINA, NOT FOUND, 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507738101132113, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , E3S
507723201160110, SULFATO NEOMICINA + BACITRACINA, SULFATO NEOMICINA BACITRACINA, NOT FOUND, POM BISN 15G, E3S
507723301130116, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, FR C/120ML - LG, E3S
507723502111410, SUPLEVIT, SUPLEVIT, NOT FOUND, FR C/20 DRG, E3S
507723503132411, SUPLEVIT, SUPLEVIT, NOT FOUND, SOL FR C/120ML, E3S
507738401111413, SUPRICAL D, SUPRICAL D, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 75, E3S
507722401115412, SECNAXIDOL, SECNAXIDOL, NOT FOUND, 1G 1 BL X 2 COMP, E3S
507728701137119, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 15ML, E3S
507728702133117, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 30ML, E3S
507741302119416, SIBUCTIL, SIBUCTIL, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507741301112418, SIBUCTIL, SIBUCTIL, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507722505115117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507722502116112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10MG 3 BL X 10 COMP, E3S
507722603117416, SINVATROX, SINVATROX, NOT FOUND, 20MG 3 BL X 10 COMP, E3S
507722801172413, STILUX, STILUX, NOT FOUND, FR C/20ML, E3S
507739501177112, SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA, SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA, NOT FOUND, 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML, E3S
507732801159112, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 0.2 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732802155110, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 1 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP), E3S
507732803151119, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP), E3S
507732804131111, SULFATO DE MORFINA, SULFATO MORFINA, SULFATO MORFINA PENTAIDRATADO, 10 MG/ML SOL OR CT FR VD AMB X 60 ML + CGT , E3S
507736901131115, SULFATO DE SALBUTAMOL + GUAIFENESINA, SULFATO SALBUTAMOL GUAIFENESINA, NOT FOUND, 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, E3S
507738101132113, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , E3S
507723201160110, SULFATO NEOMICINA + BACITRACINA, SULFATO NEOMICINA BACITRACINA, NOT FOUND, POM BISN 15G, E3S
507723301130116, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, FR C/120ML - LG, E3S
507738401111413, SUPRICAL D, SUPRICAL D, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 75, E3S
507722401115412, SECNAXIDOL, SECNAXIDOL, NOT FOUND, 1G 1 BL X 2 COMP, E3S
507728701137119, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 15ML, E3S
507728702133117, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 30MG/ML PO SUSP ORAL FR C/ 30ML, E3S
507741302119416, SIBUCTIL, SIBUCTIL, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507741301112418, SIBUCTIL, SIBUCTIL, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30, E3S
507722505115117, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 90 (EMB FRAC), E3S
507722502116112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10MG 3 BL X 10 COMP, E3S
507722603117416, SINVATROX, SINVATROX, NOT FOUND, 20MG 3 BL X 10 COMP, E3S
507722801172413, STILUX, STILUX, NOT FOUND, FR C/20ML, E3S
