507724402161112, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, CREME 20G, E3S
507724401163111, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, POMADA 20G, E3S
507724501176118, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G LOCAO DERM 50G, E3S
507724502172116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 50G 1 MG/G SOL. CAPILAR, E3S
507725401061112, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CR BISN 30G-LG, E3S
507725301065116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, POM BISN30G-LG, E3S
507730101168112, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 1 MG/G + 5 MG/G POMADA BISN X 30 GR, E3S
507730102164110, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, CREM BISN C/ 30G, E3S
507730001139110, VALPROATO DE SÓDIO, VALPROATO SODIO, VALPROATO SODIO, 50 MG/ML XPE CT FR VD AMB X 100 ML, E3S
507724701116410, VITAFER, VITAFER, NOT FOUND, FR C/50 COMP, E3S
507724903118414, VOLTAFLEX, VOLTAFLEX, NOT FOUND, 2 BL X 10 COMP, E3S
507724901115418, VOLTAFLEX, VOLTAFLEX, NOT FOUND, AP 1 BL X 10 COMP, E3S
507724904165416, VOLTAFLEX, VOLTAFLEX, NOT FOUND, GEL BISN C/60G-E, E3S
507724402161112, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, CREME 20G, E3S
507724401163111, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, POMADA 20G, E3S
507724501176118, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G LOCAO DERM 50G, E3S
507724502172116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 50G 1 MG/G SOL. CAPILAR, E3S
507725401061112, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CR BISN 30G-LG, E3S
507725301065116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, POM BISN30G-LG, E3S
507730101168112, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 1 MG/G + 5 MG/G POMADA BISN X 30 GR, E3S
507730102164110, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, CREM BISN C/ 30G, E3S
507730001139110, VALPROATO DE SÓDIO, VALPROATO SODIO, VALPROATO SODIO, 50 MG/ML XPE CT FR VD AMB X 100 ML, E3S
507724701116410, VITAFER, VITAFER, NOT FOUND, FR C/50 COMP, E3S
507724903118414, VOLTAFLEX, VOLTAFLEX, NOT FOUND, 2 BL X 10 COMP, E3S
507724901115418, VOLTAFLEX, VOLTAFLEX, NOT FOUND, AP 1 BL X 10 COMP, E3S
507724904165416, VOLTAFLEX, VOLTAFLEX, NOT FOUND, GEL BISN C/60G-E, E3S
507724402161112, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, CREME 20G, E3S
507724401163111, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, POMADA 20G, E3S
507724501176118, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G LOCAO DERM 50G, E3S
507724502172116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 50G 1 MG/G SOL. CAPILAR, E3S
507725401061112, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CR BISN 30G-LG, E3S
507725301065116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, POM BISN30G-LG, E3S
507730101168112, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 1 MG/G + 5 MG/G POMADA BISN X 30 GR, E3S
507730102164110, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, CREM BISN C/ 30G, E3S
507730001139110, VALPROATO DE SÓDIO, VALPROATO SODIO, VALPROATO SODIO, 50 MG/ML XPE CT FR VD AMB X 100 ML, E3S
507724701116410, VITAFER, VITAFER, NOT FOUND, FR C/50 COMP, E3S
507724903118414, VOLTAFLEX, VOLTAFLEX, NOT FOUND, 2 BL X 10 COMP, E3S
507724901115418, VOLTAFLEX, VOLTAFLEX, NOT FOUND, AP 1 BL X 10 COMP, E3S
507724904165416, VOLTAFLEX, VOLTAFLEX, NOT FOUND, GEL BISN C/60G-E, E3S
507724402161112, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, CREME 20G, E3S
507724401163111, VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO, VAL BETAME SULF GENT CLIOQ TOLNAFTATO, NOT FOUND, POMADA 20G, E3S
507724501176118, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 1 MG/G LOCAO DERM 50G, E3S
507724502172116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, 50G 1 MG/G SOL. CAPILAR, E3S
507725401061112, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, CR BISN 30G-LG, E3S
507725301065116, VALERATO BETAMETASONA, VALERATO BETAMETASONA, VALERATO BETAMETASONA, POM BISN30G-LG, E3S
507730101168112, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 1 MG/G + 5 MG/G POMADA BISN X 30 GR, E3S
507730102164110, VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA, VALERATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, CREM BISN C/ 30G, E3S
507730001139110, VALPROATO DE SÓDIO, VALPROATO SODIO, VALPROATO SODIO, 50 MG/ML XPE CT FR VD AMB X 100 ML, E3S
507724701116410, VITAFER, VITAFER, NOT FOUND, FR C/50 COMP, E3S
507724903118414, VOLTAFLEX, VOLTAFLEX, NOT FOUND, 2 BL X 10 COMP, E3S
507724901115418, VOLTAFLEX, VOLTAFLEX, NOT FOUND, AP 1 BL X 10 COMP, E3S
