507725801017110, MALEA.ENALAP.+HIDR., MALEA ENALAP HIDR, NOT FOUND, 10/25MG 2BX15 COMP, E3S
507716902116115, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20, E3S
507716901136112, MALEATO DE DEXCLOR.+BETAMETASONA, MALEATO DEXCLOR BETAMETASONA, NOT FOUND, XPE 120ML, E3S
507717003166118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, E3S
507717002119116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL BCO PLAS LEIT X 20, E3S
507717001139113, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, SOL ORAL 120ML, E3S
507729501131115, MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA, MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA, NOT FOUND, 0.4 + 4.0 + 20 MG/ML SOL ORAL X 120 ML, E3S
507734801113119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734802111111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507734803116115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 60 (EMB FRAC), E3S
507729602116111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 10 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507729601111116, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 30, E3S
507729603112111, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC), E3S
507733601137113, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 2.5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
507733602133111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML, E3S
