511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG CX100 AMPOLAS X 1ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML                                                                                                                                                             , HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP) , HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
511603001154411, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP) , HPO
511612201152411, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML, HPO
511603006156410, GARAMOX, GARAMOX, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD INC X 01 ML (EMB.HOSP), HPO
