506715020056603, MYTEDOM, MYTEDOM, NOT FOUND, 10 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML (EMB HOSP), CT6
506712020045703, MYTEDOM, MYTEDOM, NOT FOUND, 10 MG COM CT BL AL/AL X 20, CT6
506709301155411, MYTEDOM, MYTEDOM, NOT FOUND, 10 MG/ML SOL INJ CX 10 AMP VD AMB X 1 ML, CT6
506713010050203, MYTEDOM, MYTEDOM, NOT FOUND, 5 MG COM CT BL AL/AL X 20, CT6
506708701176416, MARCLORHEX, MARCLORHEX, NOT FOUND, 20 MG/ML SAB LIQ CX FR PLAS OPC X 1000 ML, CT6
506718401167419, MEDICAÍNA, MEDICAINA, NOT FOUND, 25 MG/G + 25 MG/G CREM DERM CT BG AL X 5 G, CT6
506708301135119, MAL.DEXCLORF.+BETAMETASONA, MAL DEXCLORF BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, CT6
506708602119112, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT 3 BL AL/AL X 10 , CT6
506708603115110, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT 3 BL AL/AL X 10, CT6
506708601112114, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT 3 BL AL/AL X 10 , CT6
506708501177117, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, CT6
506708502173115, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP), CT6
506709102111110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT BL AL PLAS INC X 6, CT6
506709101131118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, CT6
506719001154113, MESILATO DE DESFERROXAMINA, MESILATO DESFERROXAMINA, MESILATO DESFERROXAMINA, 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML, CT6
506713070051106, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 100 MG COM REV OR CX BL AL PLAS TRANS X 200 (EMB HOSP), CT6
506713070050906, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 100 MG COM REV OR CT BL AL PLAS TRANS X 30, CT6
506713070051006, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 100 MG COM REV OR CT BL AL PLAS TRANS X 60, CT6
506713070051206, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 100 MG COM REV OR CX BL AL PLAS TRANS X 600 (EMB HOSP), CT6
506713070051506, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 400 MG COM REV OR CX BL AL PLAS TRANS X 200 (EMB HOSP), CT6
506713070051306, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 400 MG COM REV OR CT BL AL PLAS TRANS X 30, CT6
506713070051406, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 400 MG COM REV OR CT BL AL PLAS TRANS X 60, CT6
506713070051606, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 400 MG COM REV OR CX BL AL PLAS TRANS X 600 (EMB HOSP), CT6
506709801166119, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G CREM DERM CT BG AL X 15 G, CT6
506713080051806, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G POM DERM CT BG AL X 15 G, CT6
506713080051906, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G POM DERM CX 25 BG AL X 15 G (EMB HOSP), CT6
506713080052006, MUPIROCINA, MUPIROCINA, MUPIROCINA, 20 MG/G POM DERM CX 50 BG AL X 15 G (EMB HOSP), CT6
