506700101161110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, CT6
506700501151414, ANFORICIN B, ANFORICIN B, ANFOTERICINA B, 50 MG PO LIOF INJ CX 25 FA VD INC + SOL DIL ( REST HOSP), CT6
506716401119116, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 30 , CT6
506716402115114, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), CT6
506716403111112, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 30 , CT6
506716404118110, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), CT6
506716405114119, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30 , CT6
506716406110117, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), CT6
506718504136419, ANA-FLEX, ANA FLEX, NOT FOUND, 35 MG/ML + 300MG/ML + 50MG/ML SOL OR CT FR VD AMB X 20 ML, CT6
506718501110419, ANA-FLEX, ANA FLEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 10, CT6
506718502117417, ANA-FLEX, ANA FLEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), CT6
506718503113415, ANA-FLEX, ANA FLEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 30, CT6
506719501114412, ANA-FLEX, ANA FLEX, NOT FOUND, 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 4, CT6
506700202154411, ALFAST, ALFAST, NOT FOUND, 0.544 MG/ML SOL INJ CX  25 AMP VD INC X 10 ML, CT6
506700201158413, ALFAST, ALFAST, NOT FOUND, 0.544 MG/ML SOL INJ CX  10 AMP VD INC X 5 ML, CT6
506714120054103, ALFAST, ALFAST, NOT FOUND, 0.544 MG/ML SOL INJ CX 10 AMP VD TRANS X 10 ML, CT6
506714060053303, AMYTRIL, AMYTRIL, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 30, CT6
506712040046103, AMYTRIL, AMYTRIL, NOT FOUND, 10 MG COM REV CT BL AL PLAST INC X 10, CT6
506700404113317, AMYTRIL, AMYTRIL, NOT FOUND, 10 MG COM REV CT BL AL PLAST INC X 30 , CT6
506700401114411, AMYTRIL, AMYTRIL, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 20, CT6
506700402110418, AMYTRIL, AMYTRIL, NOT FOUND, 25 MG COM REV CX  BL AL PLAS INC X 200 (EMB HOSP) , CT6
506700403117416, AMYTRIL, AMYTRIL, NOT FOUND, 75 MG COM REV CT 2 BL AL PLAS INC X 10, CT6
506712080046803, AMYTRIL, AMYTRIL, NOT FOUND, 75 MG COM REV CX  BL AL PLAS INC X 200 (EMB HOSP), CT6
506715010055403, ARAMIN, ARAMIN, NOT FOUND, 10 MG/ML SOL INJ CX 36 AMP VD TRANS X 1 ML (EMB HOSP), CT6
506700601156418, ARAMIN, ARAMIN, NOT FOUND, 10 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, CT6
506717701132310, ALIMAX, ALIMAX, NOT FOUND, 10 000 UI/ML SOL TOP SPY CT FR VD INC NEB X 50 ML , CT6
506717702171417, ALIMAX, ALIMAX, NOT FOUND, 10.000 UI/ML SOL TOP SPY CT FR VD INC NEB X 20 ML, CT6
