506714120054603, HELLEVA, HELLEVA, NOT FOUND, 80 MG COM CT BL AL PLAS TRANS X 10, CT6
506714120054703, HELLEVA, HELLEVA, NOT FOUND, 80 MG COM CT BL AL PLAS TRANS X 30, CT6
506718301111217, HELLEVA, HELLEVA, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 2 , CT6
506718303114213, HELLEVA, HELLEVA, NOT FOUND, 80 MG COM CT AL PLAST INC X 20 (EMB FRAC), CT6
506718302118215, HELLEVA, HELLEVA, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 4, CT6
506715020057103, HALO  DECANOATO, HALO DECANOATO, NOT FOUND, 50 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML, CT6
506707001154411, HALO DECANOATO, HALO DECANOATO, NOT FOUND, 50MG/ML SOL INJ CX 3 AMP VD AMB X 1 ML, CT6
506712120049703, HALO  DECANOATO, HALO DECANOATO, NOT FOUND, 50 MG/ML SOL INJ CX 15 AMP VD AMB X 1 ML, CT6
506715010055203, HALO, HALO, NOT FOUND, 5 MG/ML SOL INJ IM/IV CX 36 AMP VD AMB X 1 ML (EMB HOSP), CT6
506706902115418, HALO, HALO, NOT FOUND, 1 MG COM CX BL AL PLAS INC X 200 (EMB HOSP), CT6
506706901119411, HALO, HALO, NOT FOUND, 10 MG COM CX 20 ENV AL POLIET X 10 (EMB HOSP), CT6
506706903138411, HALO, HALO, NOT FOUND, 2 MG/ML SOL GOT OR CX 10 FR GOT PLAS OPC X 20 ML (EMB HOSP), CT6
506706905114412, HALO, HALO, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), CT6
506706904150415, HALO, HALO, NOT FOUND, 5 MG/ML SOL INJ IM/IV CX 50 AMP VD AMB X 1 ML (EMB HOSP), CT6
506714120054403, HEMOFOL, HEMOFOL, NOT FOUND, 5000 UI/0.25 ML SOL INJ SC CX 36 AMP VD TRANS X 0.25 ML (EMB HOSP), CT6
506718803151411, HEMOFOL, HEMOFOL, NOT FOUND, 5000 UI/0.25 ML SOL INJ CX 25 AMP VD INC X 0.25 ML, CT6
506718801157410, HEMOFOL, HEMOFOL, NOT FOUND, 5000 UI/ML SOL INJ CX 25 FA VD INC X 5 ML , CT6
506718802153419, HEMOFOL, HEMOFOL, NOT FOUND, 5000 UI/ML SOL INJ CX 50 FA VD INC X 5 ML , CT6
