506714120054203; LONGACTIL; LONGACTIL; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML (EMB HOSP); CT6
506708201114411; LONGACTIL; LONGACTIL; NOT FOUND; 100 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
506708202110411; LONGACTIL; LONGACTIL; NOT FOUND; 25 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
506708204131414; LONGACTIL; LONGACTIL; NOT FOUND; 40 MG/ML SOL OR CX 10 FR VD AMB X 20 ML (EMB HOSP); CT6
506708203151411; LONGACTIL; LONGACTIL; NOT FOUND;  5 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP); CT6
506712090048704; LABREA; LABREA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 10; CT6
506712090047104; LABREA; LABREA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
506712090049004; LABREA; LABREA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP); CT6
506712090048804; LABREA; LABREA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 28; CT6
506712090048904; LABREA; LABREA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; CT6
506712090049104; LABREA; LABREA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP) ; CT6
506712090048104; LABREA; LABREA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 10 ; CT6
506712090048404; LABREA; LABREA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
506712090048504; LABREA; LABREA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP); CT6
506712090048204; LABREA; LABREA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 28; CT6
506712090048304; LABREA; LABREA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 30; CT6
506712090048604; LABREA; LABREA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); CT6
506718001134416; LAMI; LAMI; NOT FOUND; 10 MG / ML SOL OR CT FR PLAS OPC X 240 ML + SER DOS; CT6
506713070050806; LEFLUNOMIDA; LEFLUNOMIDA; LEFLUNOMIDA; 20 MG COM REV OR CT BL AL AL X 30; CT6
506712120049803; LEVOTAC; LEVOTAC; NOT FOUND; 5 MG/ML SOL INJ IV CX 06 BOLS PLAS TRANS SIST FECH X 100 ML; CT6
506707904111418; LEVOTAC; LEVOTAC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; CT6
506708101111119; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT 3 BL AL PLAS INC X 10; CT6
506708102116114; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 3 BL AL PLAS INC X 10; CT6
506708103112112; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 3 BL AL PLAS INC X 10; CT6
506714050052706; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CX BL AL PLAS OPC X 100 (EMB FRAC); CT6
506716102111113; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT 3 BL AL PLAS OPC X 10; CT6
506708001115414; LEVOZINE; LEVOZINE; NOT FOUND; 100 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); CT6
506708002111412; LEVOZINE; LEVOZINE; NOT FOUND; 25 MG COM REV CT C/ 01 BL AL PLAS INC X 20; CT6
506713050050403; LEVOZINE; LEVOZINE; NOT FOUND; 25 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); CT6
506708003134416; LEVOZINE; LEVOZINE; NOT FOUND; 40 MG/ ML SOL ORAL CT 10 FR VD AMB X 20 ML; CT6
