506715010055003, ROCURON, ROCURON, NOT FOUND, 10 MG/ML SOL INJ CT 25 FA VD TRANS X 5 ML, CT6
506717501151419, ROCURON, ROCURON, NOT FOUND, 10 MG/ML SOL INJ CT 12 FA VD INC X 5 ML, CT6
506713301113413, REVIA, REVIA, NOT FOUND, 50 MG COM CT FR PLAS OPC X 30, CT6
506716303117410, ROXETIN, ROXETIN, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 20, CT6
506712070046603, ROXETIN, ROXETIN, NOT FOUND, 20 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP), CT6
506716301114414, ROXETIN, ROXETIN, NOT FOUND, 20 MG 3 BL X 10 CPS, CT6
506716302110412, ROXETIN, ROXETIN, NOT FOUND, 30 MG COM REV CT BL AL PLAS INC X 20, CT6
506713080051703, ROXETIN, ROXETIN, NOT FOUND, 30 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP), CT6
506712110049603, ROPI, ROPI, NOT FOUND, 10 MG/ML SOL INJ CX 5 EST X FA VD INC X 20 ML, CT6
506716901154417, ROPI, ROPI, NOT FOUND, 10 MG/ML SOL INJ CX 5 EST X AMP VD INC X 20 ML, CT6
506712110049403, ROPI, ROPI, NOT FOUND, 2 MG/ML SOL INJ CX 5 EST X FA VD INC X 20 ML, CT6
506716903157413, ROPI, ROPI, NOT FOUND, 2 MG/ML SOL INJ CX 5 EST X AMP VD INC X 20 ML, CT6
506712110049503, ROPI, ROPI, NOT FOUND, 7.5 MG/ML SOL INJ CX 5 EST X FA VD INC X 20 ML, CT6
506716902150415, ROPI, ROPI, NOT FOUND, 7.5 MG/ML SOL INJ CX 5 EST X AMP VD INC X 20 ML, CT6
506714030052606, RILUZOL, RILUZOL, RILUZOL, 50 MG COM REV CT BL AL PLAS OPC X 56, CT6
506713402114415, RISPERIDON, RISPERIDON, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 20, CT6
506713401118417, RISPERIDON, RISPERIDON, NOT FOUND, 1 MG COM REV CX BL AL PLAS INC X 200, CT6
506713408112414, RISPERIDON, RISPERIDON, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 30, CT6
506713010050103, RISPERIDON, RISPERIDON, NOT FOUND, 1 MG/ML SOL OR CX 10 FR VD AMB X 30 ML + 10 SER PLAS DOS (EMB HOSP), CT6
506712080046704, RISPERIDON, RISPERIDON, NOT FOUND, 1 MG/ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOS , CT6
506713404117411, RISPERIDON, RISPERIDON, NOT FOUND, 2 MG COM REV CX BL AL PLAS INC X 200, CT6
506713409119412, RISPERIDON, RISPERIDON, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 30, CT6
506713407116416, RISPERIDON, RISPERIDON, NOT FOUND, 3 MG COM CT BL AL PLAS INC X 20, CT6
506713406111410, RISPERIDON, RISPERIDON, NOT FOUND, 3 MG COM REV CX BL AL PLAS INC X 200, CT6
506713410117411, RISPERIDON, RISPERIDON, NOT FOUND, 3 MG COM REV CT BL AL PLAS INC X 30, CT6
506717902111418, RITOVIR, RITOVIR, NOT FOUND, 100 MG CAP GEL MOLE CT FR PLAS OPC X 30, CT6
506717901115411, RITOVIR, RITOVIR, NOT FOUND, 100 MG CAP GEL MOLE CT FR PLAS OPC X 84, CT6
