506715803167419; NADERM; NADERM; NOT FOUND; 0.64 MG/G + 20.0 MG/G + 2.5 MG/G POM DERM CT BG AL X 15 G; CT6
506715804163417; NADERM; NADERM; NOT FOUND; 0.64 MG/G + 20.0 MG/G + 2.5 MG/G CREM DERM CT BG AL X 15 G; CT6
506715801164412; NADERM; NADERM; NOT FOUND; 0.5 MG + 20.0 MG + 2.5 MG CREM DERM CT BG X 30G; CT6
506715802160410; NADERM; NADERM; NOT FOUND; 0.64 MG/G + 20.0 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; CT6
506711001155416; NILPERIDOL; NILPERIDOL; NOT FOUND; 0.0785 MG/ML + 2.5 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); CT6
506715020056303; NILPERIDOL; NILPERIDOL; NOT FOUND; 0.0785 MG/ML + 2.5 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
506713120052103; NILPERIDOL; NILPERIDOL; NOT FOUND; 0.0785 MG/ML + 2.5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); CT6
506710201150411; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.25 PCC SOL INJ CX 10 EST FA VD INC X 20ML; CT6
506710202157418; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.5 PCC SOL INJ CX 10 EST X FA VD INC X 20ML; CT6
506710203153416; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.5 PCC SOL INJ CX 06 FA VD INC X 20ML; CT6
506710205156412; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.5 PCC SOL INJ CX 10 FA VD INC X 20 ML; CT6
506710401151411; NEOCAÍNA ISOBÁRICA; NEOCAINA ISOBARICA; NOT FOUND; 0.5 PCC SOL INJ CX 40 EST X AMP VD INC X 4 ML (EMB. HOSP.); CT6
506710204151417; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.75 PCC SOL INJ CX 10 EST X FA VD INC X 20 ML; CT6
506714120054003; NEOCAINA PESADA; NEOCAINA PESADA; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 10 AMP VD TRANS X 4 ML (EMB HOSP); CT6
506710501154410; NEOCAÍNA PESADA; NEOCAINA PESADA; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 40 EST AMP VD INC X 4 ML (EMB HOSP); CT6
506710502150419; NEOCAÍNA PESADA; NEOCAINA PESADA; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 20  AMP VD INC X 4 ML; CT6
506710301155413; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.25 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506710302151411; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.50 PCC SOL INJ CX 10 EST FA VD INC X 20ML; CT6
506710305150416; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.50 PCC SOL INJ CX 6 FA VD INC X 20 ML; CT6
506710303158411; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.50 PCC SOL INJ CX 10 EST FA VD INC X 30 ML; CT6
506710306157414; NEOCAÍNA 0,25% COM VASOCONSTRITOR; NEOCAINA 0 25 VASOCONSTRITOR; NOT FOUND; 0.75 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506715020057003; NEPRESOL; NEPRESOL; NOT FOUND; 20 MG/ML SOL INJ CX 36 AMP VD TRANS X 1 ML (EMB HOSP); CT6
506710601159414; NEPRESOL; NEPRESOL; NOT FOUND; 20 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML (EMB HOSP); CT6
506711802158413; NOVABUPI (SEM VASOCONSTRITOR); NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.25 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506711803154411; NOVABUPI (SEM VASOCONSTRITOR); NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.5 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506712001159411; NOVABUPI (SEM VASOCONSTRITOR) ISOBÁRICA; NOVABUPI VASOCONSTRITOR ISOBARICA; NOT FOUND;  0.5 PCC SOL INJ CX 10 EST X 3 AMP VD INC X 4 ML; CT6
506711805157418; NOVABUPI (SEM VASOCONSTRITOR); NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.75 PCC SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506711901156419; NOVABUPI COM VASOCONSTRITOR; NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.25 PCC + 9.1 MCG / ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506711902152417; NOVABUPI COM VASOCONSTRITOR; NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.5 PCC + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
