506714010052404, CIS, CIS, NOT FOUND, 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 10 ML, CT6
506714010052304, CIS, CIS, NOT FOUND, 2 MG/ML SOL INJ IV CX 20 AMP VD TRANS X 5 ML, CT6
506714010052504, CIS, CIS, NOT FOUND, 2 MG/ML SOL INJ IV CX 20 AMP VD TRANS X 10 ML, CT6
506714010052204, CIS, CIS, NOT FOUND, 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML , CT6
506714070053404, CABEREDUX, CABEREDUX, NOT FOUND, 0.5 MG COM OR CT FR VD AMB X 2 , CT6
506714070053504, CABEREDUX, CABEREDUX, NOT FOUND, 0.5 MG COM OR CT FR VD AMB X 8, CT6
506701801116116, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PLAS INC X 30, CT6
506714050052806, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CX BL AL PLAS INC X 100 (EMB FRAC), CT6
506701802112114, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 30, CT6
506701803119112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 30, CT6
506701901161113, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G CREM DERM CT BG AL X 30 G, CT6
506701902176114, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G SHAMP CT FR PLAS OPC X 100 ML, CT6
506702001156413, CETOPROFENO, CETOPROFENO, CETOPROFENO, 100 MG PO LIOF P/ SOL INJ CX 50 FA VD INC (EMB HOSP), CT6
506702002152111, CETOPROFENO, CETOPROFENO, CETOPROFENO, 50 MG/ML SOL INJ IM CX 6 AMP VD AMB X 2 ML, CT6
506702003159118, CETOPROFENO, CETOPROFENO, CETOPROFENO, 50 MG/ML SOL INJ IM CX 48 AMP VD AMB X 2 ML (EMB HOSP), CT6
506702602117412, CLOPAM, CLOPAM, NOT FOUND, 0.5 MG COM CT 2 BL AL PLAS INC X 10, CT6
506702603113410, CLOPAM, CLOPAM, NOT FOUND, 0.5 MG COM CX BL AL PLAS INC X 200 (EMB HOSP), CT6
506702604111411, CLOPAM, CLOPAM, NOT FOUND, 2 MG COM CT 2 BL AL PLAS INC X 10, CT6
506702605116417, CLOPAM, CLOPAM, NOT FOUND, 2 MG COM CX BL AL PLAST INC X 200 (EMB HOSP), CT6
506702601137411, CLOPAM, CLOPAM, NOT FOUND, 2.5 MG/ML SOL OR CT FR VD AMB X 20 ML, CT6
506702701131121, CLOR.AMBROXOL, CLOR AMBROXOL, CLORIDRATO AMBROXOL, 3MG/ML-XAROPE-F.120ML, CT6
506702702138128, CLOR.AMBROXOL, CLOR AMBROXOL, CLORIDRATO AMBROXOL, 6MG/ML-XAROPE-FR.120ML, CT6
506702801179116, CLORIDRATO DE BETAXOLOL, CLORIDRATO BETAXOLOL, CLORIDRATO BETAXOLOL, 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML, CT6
506702301117413, CINETOL, CINETOL, NOT FOUND, 2 MG COM CX 20 BL AL PLAS INC X 10 (EMB HOSP), CT6
506702303111412, CINETOL, CINETOL, NOT FOUND, 2 MG COM CX 8 BL  AL PLAS INC X 10, CT6
506702302156412, CINETOL, CINETOL, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, CT6
506702501159411, CLONIDIN, CLONIDIN, NOT FOUND, 150 MCG/ML SOL INJ CX 25 EST X AMP VD AMB X 1 ML (EMB. HOSP.), CT6
506702502155312, CLONIDIN, CLONIDIN, NOT FOUND, 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML (EMB HOSP), CT6
506703301153418, CORDILAT, CORDILAT, NOT FOUND, 5 MG SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP), CT6
506703302117415, CORDILAT, CORDILAT, NOT FOUND, 80 MG COM REV CT CX 20 BL AL PLAS INC X 10 EMB HOSP, CT6
506719102112114, CLOZAPINA, CLOZAPINA, CLOZAPINA, 100 MG COM CT BL AL PLAS TRANS X 30, CT6
506719103119112, CLOZAPINA, CLOZAPINA, CLOZAPINA, 100 MG COM CX BL AL PLAS TRANS X 450 (EMB HOSP), CT6
