506700801155415, BACTOMAX, BACTOMAX, NOT FOUND, 133.33 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700802151413, BACTOMAX, BACTOMAX, NOT FOUND, 66.6 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700901176414, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 150ML, CT6
506700902172412, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 200ML, CT6
506701401118413, BENORMAL, BENORMAL, NOT FOUND, BENORMAL-20 BLISTER 10 DRAGEAS, CT6
506716501113111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 20, CT6
506716502111110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), CT6
506716503116116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 30, CT6
506716504112114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 20, CT6
506716505119112, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 200, CT6
506716506115110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 30, CT6
506701501112417, BIOFLAC, BIOFLAC, NOT FOUND, 15MG-1BLIST.C/ 10CPS., CT6
506701502151416, BIOFLAC, BIOFLAC, NOT FOUND, 15MG-5AP.1.5ML, CT6
506701503115413, BIOFLAC, BIOFLAC, NOT FOUND, 7.5MG-1BLIST.C/ 10CPS., CT6
506701601151414, BREVIBLOC, BREVIBLOC, NOT FOUND, 10MG/ML-CX. 20FR.AP. 10ML, CT6
506701602156411, BREVIBLOC, BREVIBLOC, NOT FOUND, 250MG/ML-CX 10AP. 10ML, CT6
506700801155415, BACTOMAX, BACTOMAX, NOT FOUND, 133.33 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700802151413, BACTOMAX, BACTOMAX, NOT FOUND, 66.6 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700901176414, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 150ML, CT6
506700902172412, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 200ML, CT6
506701401118413, BENORMAL, BENORMAL, NOT FOUND, BENORMAL-20 BLISTER 10 DRAGEAS, CT6
506716501113111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 20, CT6
506716502111110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), CT6
506716503116116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 30, CT6
506716504112114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 20, CT6
506716505119112, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 200, CT6
506716506115110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 30, CT6
506701501112417, BIOFLAC, BIOFLAC, NOT FOUND, 15MG-1BLIST.C/ 10CPS., CT6
506701502151416, BIOFLAC, BIOFLAC, NOT FOUND, 15MG-5AP.1.5ML, CT6
506701503115413, BIOFLAC, BIOFLAC, NOT FOUND, 7.5MG-1BLIST.C/ 10CPS., CT6
506701601151414, BREVIBLOC, BREVIBLOC, NOT FOUND, 10MG/ML-CX. 20FR.AP. 10ML, CT6
506701602156411, BREVIBLOC, BREVIBLOC, NOT FOUND, 250MG/ML-CX 10AP. 10ML, CT6
506700801155415, BACTOMAX, BACTOMAX, NOT FOUND, 133.33 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700802151413, BACTOMAX, BACTOMAX, NOT FOUND, 66.6 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700901176414, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 150ML, CT6
506700902172412, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 200ML, CT6
506701401118413, BENORMAL, BENORMAL, NOT FOUND, BENORMAL-20 BLISTER 10 DRAGEAS, CT6
506716501113111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 20, CT6
506716502111110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), CT6
506716503116116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 30, CT6
506716504112114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 20, CT6
506716505119112, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 200, CT6
506716506115110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 30, CT6
506701501112417, BIOFLAC, BIOFLAC, NOT FOUND, 15MG-1BLIST.C/ 10CPS., CT6
506701502151416, BIOFLAC, BIOFLAC, NOT FOUND, 15MG-5AP.1.5ML, CT6
506701503115413, BIOFLAC, BIOFLAC, NOT FOUND, 7.5MG-1BLIST.C/ 10CPS., CT6
506701601151414, BREVIBLOC, BREVIBLOC, NOT FOUND, 10MG/ML-CX. 20FR.AP. 10ML, CT6
506701602156411, BREVIBLOC, BREVIBLOC, NOT FOUND, 250MG/ML-CX 10AP. 10ML, CT6
506700801155415, BACTOMAX, BACTOMAX, NOT FOUND, 133.33 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700802151413, BACTOMAX, BACTOMAX, NOT FOUND, 66.6 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML, CT6
506700901176414, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 150ML, CT6
506700902172412, BARIOGEL, BARIOGEL, NOT FOUND, GELEIA 100%-COPO 200ML, CT6
506701401118413, BENORMAL, BENORMAL, NOT FOUND, BENORMAL-20 BLISTER 10 DRAGEAS, CT6
506716501113111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 20, CT6
506716502111110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 200 (EMB HOSP), CT6
506716503116116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10MG COM CT BL AL PLAS AMB X 30, CT6
506716504112114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 20, CT6
506716505119112, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5MG COM CT BL AL PLAS AMB X 200, CT6
