506704901154413, EFEDRIN, EFEDRIN, NOT FOUND, 50MG/ML-100AP. 1ML, CT6
506718901151414, ENDOCRIS, ENDOCRIS, NOT FOUND, 20 MG/0.2 ML SOL INJ CT 10 SER PREENCH X 0.2 ML , CT6
506718902158412, ENDOCRIS, ENDOCRIS, NOT FOUND, 40 MG/0.4 ML SOL INJ CT 10 SER PREENCH X 0.4 ML , CT6
506718903154410, ENDOCRIS, ENDOCRIS, NOT FOUND, 60 MG/0.6 ML SOL INJ CT 2 SER PREENCH X 0.6 ML , CT6
506718904150419, ENDOCRIS, ENDOCRIS, NOT FOUND, 80 MG/0.8 ML SOL INJ CT 2 SER PREENCH X 0.8 ML , CT6
506705001173411, ENDOFIX, ENDOFIX, NOT FOUND, -CX. C/10 FIXADORES, CT6
506705101178413, ENFLURAN, ENFLURAN, NOT FOUND, -1FR.100ML, CT6
506705102174411, ENFLURAN, ENFLURAN, NOT FOUND, -1FR.240ML, CT6
506718701152417, EPIFRIN, EPIFRIN, NOT FOUND, 0.1 PCC SOL INJ CX 100 AMP VD INC X 1 ML ( EMB HOSP), CT6
506705501151113, ETOMIDATO, ETOMIDATO, ETOMIDATO, 2MG/ML-25AP.10ML(GENERICO), CT6
506716601150416, EUTROPIN, EUTROPIN, NOT FOUND, 4 UI PO LIOF CT 5 FA VD INC + 5 FA VD INC DIL X 1 ML, CT6
506704901154413, EFEDRIN, EFEDRIN, NOT FOUND, 50MG/ML-100AP. 1ML, CT6
506718901151414, ENDOCRIS, ENDOCRIS, NOT FOUND, 20 MG/0.2 ML SOL INJ CT 10 SER PREENCH X 0.2 ML , CT6
506718902158412, ENDOCRIS, ENDOCRIS, NOT FOUND, 40 MG/0.4 ML SOL INJ CT 10 SER PREENCH X 0.4 ML , CT6
506718903154410, ENDOCRIS, ENDOCRIS, NOT FOUND, 60 MG/0.6 ML SOL INJ CT 2 SER PREENCH X 0.6 ML , CT6
506718904150419, ENDOCRIS, ENDOCRIS, NOT FOUND, 80 MG/0.8 ML SOL INJ CT 2 SER PREENCH X 0.8 ML , CT6
506705101178413, ENFLURAN, ENFLURAN, NOT FOUND, -1FR.100ML, CT6
506705102174411, ENFLURAN, ENFLURAN, NOT FOUND, -1FR.240ML, CT6
506718701152417, EPIFRIN, EPIFRIN, NOT FOUND, 0.1 PCC SOL INJ CX 100 AMP VD INC X 1 ML ( EMB HOSP), CT6
