506715901150413, PLASBUMIN 20, PLASBUMIN 20, NOT FOUND, 200 MG/ML SOL INJ CT FA VD INC X 50 ML, CT6
506715020056803, PANCURON, PANCURON, NOT FOUND, 2 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP), CT6
506712501151418, PANCURON, PANCURON, NOT FOUND, 2 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML  EMB.HOSP., CT6
506714060053103, PARKIDOPA, PARKIDOPA, NOT FOUND, 250 MG + 25 MG COM CX BL AL PLAS INC X 30, CT6
506712603116417, PARKIDOPA, PARKIDOPA, NOT FOUND, 250 MG + 25 MG COM CX BL AL PLAS INC X 200 (EMB HOSP), CT6
506715020056203, PAMERGAN, PAMERGAN, NOT FOUND, 25 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML, CT6
506712301111412, PAMERGAN, PAMERGAN, NOT FOUND, 25 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB. HOSP.), CT6
506712302159419, PAMERGAN, PAMERGAN, NOT FOUND,  25 MG/ML SOL INJ CX C/ 50 AMP VD AMB X 2 ML, CT6
506719302111413, PINAZAN, PINAZAN, NOT FOUND, 100 MG COM CX BL AL PLAS TRANS X 30, CT6
506719301115415, PINAZAN, PINAZAN, NOT FOUND, 100 MG COM CX BL AL PLAS TRANS X 450 (EMB HOSP), CT6
506719303118411, PINAZAN, PINAZAN, NOT FOUND, 100 MG COM CX BL AL PLAS TRANS X 90 (EMB HOSP), CT6
506719304114411, PINAZAN, PINAZAN, NOT FOUND, 25 MG COM CX BL AL PLAS TRANS X 200 (EMB HOSP), CT6
506719305110418, PINAZAN, PINAZAN, NOT FOUND, 25 MG COM CX BL AL PLAS TRANS X 30, CT6
506712801171414, PHOSFOENEMA, PHOSFOENEMA, NOT FOUND, (160 + 60)MG/ML ENEMA CX 12 FR PLAS TRANS X 130 ML (EMB. HOSP.), CT6
506712802178412, PHOSFOENEMA, PHOSFOENEMA, NOT FOUND, (160+60)MG/ML ENEMA CT FR PLAS TRANS X 130 ML, CT6
506712401157414, PAMIDROM, PAMIDROM, NOT FOUND, 60 MG PO LIOF INJ CX 5 FA VD INC + 5 AMP DIL X 10 ML, CT6
506712402153412, PAMIDROM, PAMIDROM, NOT FOUND, 90 MG PO LIOF INJ CX 5 FA VD INC + 5 AMP DIL X 10 ML, CT6
506715010055603, PROPOVAN, PROPOVAN, NOT FOUND, 10 MG/ML EMU INJ CX 10 AMP VD TRANS X 10 ML (REST.  HOSP.), CT6
506713102153415, PROPOVAN, PROPOVAN, NOT FOUND, 10 MG/ML EMU INJ CX 5 AMP VD INC X 10 ML (REST.  HOSP.), CT6
506713103151416, PROPOVAN, PROPOVAN, NOT FOUND, 10 MG/ML EMU INJ CX  5 AMP VD INC X 20 ML (REST. HOSP.) , CT6
506713105152411, PROPOVAN, PROPOVAN, NOT FOUND, 10 MG/ML EMU INJ CX 5 FA VD INC X 20 ML (REST HOSP), CT6
506713201151410, PROSIGNE, PROSIGNE, NOT FOUND, 100 U PO LIOF INJ CT 1 FA VD INC, CT6
506713202158419, PROSIGNE, PROSIGNE, NOT FOUND, 50 U PO LIOF INJ CT FA VD INC , CT6
