1508700050038; LOSORPAK; LOSORPAK; NOT FOUND; 30MG CAPS+500MG COMP REV+500MG CAPS CX 10 CART (2+2+4) + 30MG CAPS 1 CART X 14; L3B
1508700050021; LOSORPAK; LOSORPAK; NOT FOUND; 30MG CAPS+500MG COMP REV+500MG CAPS CX 10 CART (2+2+4); L3B
1508700050011; LOSORPAK; LOSORPAK; NOT FOUND; 30MG CAPS+500MG COMP REV+500MG CAPS CX 7 CART (2+2+4); L3B
1508700270127; LABOPRIL; LABOPRIL; NOT FOUND; 50 MG COM CX 50 BL AL PLAS INC X 10; L3B
1508700270119; LABOPRIL; LABOPRIL; NOT FOUND; 50 MG COM CT 3 BL AL PLAS INC X 10; L3B
1508700270089; LABOPRIL; LABOPRIL; NOT FOUND; 25 MG COM CX 50 BL AL PLAS INC X 10 ; L3B
1508700270070; LABOPRIL; LABOPRIL; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 10; L3B
1508700270046; LABOPRIL; LABOPRIL; NOT FOUND; 12.5 MG COM CX 50 BL AL PLAS INC X 10 ; L3B
1508700270038; LABOPRIL; LABOPRIL; NOT FOUND; 12.5 MG COM CT 3 BL AL PLAS INC X 10; L3B
1508700140010; LENITRAL; LENITRAL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10; L3B
1508700140053; LENITRAL; LENITRAL; NOT FOUND; 40 MG COM CT 3 BL AL PLAS INC X 10; L3B
1508700140037; LENITRAL; LENITRAL; NOT FOUND; 20 MG COM CT 3 BL AL PLAS INC X 10; L3B
1508700140029; LENITRAL; LENITRAL; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; L3B
1508700140045; LENITRAL; LENITRAL; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; L3B
