1508700200021; CO-LABOPRIL; CO LABOPRIL; NOT FOUND; 50 MG + 25 MG COM CT 3 BL AL PLAS AMB X 10; L3B
1508700210051; COZIB; COZIB; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; L3B
1508700210043; COZIB; COZIB; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; L3B
1508700280017; CARDVITA H; CARDVITA H; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS INC X 14 ; L3B
1508700280025; CARDVITA H; CARDVITA H; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS INC X 28 ; L3B
1508700280041; CARDVITA H; CARDVITA H; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS INC X 30; L3B
1508700160021; CARDIONATO H; CARDIONATO H; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL PLAS INC X 30; L3B
1508700160011; CARDIONATO H; CARDIONATO H; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS INC X 30; L3B
1508700190050; CARDVITA; CARDVITA; NOT FOUND; 25 MG COM REV CT  BL AL PLAS INC X 500; L3B
1508700190077; CARDVITA; CARDVITA; NOT FOUND; 50 MG COM REV CT BL AL PLAS TRANS X 30; L3B
1508700190042; CARDVITA; CARDVITA; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 14&NBSP;01; L3B
1508700190042; CARDVITA; CARDVITA; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 14; L3B
1508700190034; CARDVITA; CARDVITA; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14; L3B
1508700190026; CARDVITA; CARDVITA; NOT FOUND; 25 MG COM REV CT 2 BL AL PLAS INC X 14; L3B
1508700120060; CARDIONATO; CARDIONATO; NOT FOUND; 5 MG COM CT FR VD AMB X 30; L3B
1508700120028; CARDIONATO; CARDIONATO; NOT FOUND; 2.5 MG COM CT FR PLAS OPC X 30; L3B
1508700120141; CARDIONATO; CARDIONATO; NOT FOUND; 20 MG COM CT FR VD AMB X 30; L3B
1508700120109; CARDIONATO; CARDIONATO; NOT FOUND; 10 MG COM CT FR VD AMB X 30; L3B
