1508700230044; BESFLOX; BESFLOX; NOT FOUND; 250 MG COM REV CX/1 BL X 14 COM REV; L3B
1508700230028; BESFLOX; BESFLOX; NOT FOUND; 250 MG COM REV CX/1 BL X 10 COM REV; L3B
1508700230011; BESFLOX; BESFLOX; NOT FOUND; 250 MG COM REV CT/ 1 BL X 6 COM REV; L3B
1508700230087; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CX 5 BL AL PLAS AMB X 10; L3B
1508700230079; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 14; L3B
1508700230060; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 10; L3B
1508700230052; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 6; L3B
1508700230036; BESFLOX; BESFLOX; NOT FOUND; 250 MG COM REV CX/5 BL X 10 COM REV; L3B
1508700170041; BLOCULCER; BLOCULCER; NOT FOUND; 300 MG COM REV CT 2 BL AL PLAS INC X 10; L3B
1508700170033; BLOCULCER; BLOCULCER; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 10; L3B
1508700170025; BLOCULCER; BLOCULCER; NOT FOUND; 150 MG COM REV CT 2 BL AL PLAS INC X 10; L3B
1508700170017; BLOCULCER; BLOCULCER; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 10; L3B
