1040419440024; CICLAVIX; CICLAVIX; NOT FOUND; 0.05G/G CREM CT BG PLAS OPC X 10 G; LR3
1040419440016; CICLAVIX; CICLAVIX; NOT FOUND; 200 MG COM CT FR PLAS OPC X 25; LR3
1040419660016; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PVC X 15 ; LR3
1040419660024; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PVC X 30; LR3
1040419660032; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PVC X 16; LR3
1040419660040; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PVC X 28; LR3
1040419660059; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PVC X 16; LR3
1040419660067; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PVC X 28; LR3
1040419890021; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; LR3
1040401460010; COLIRIO BLUMEN; COLIRIO BLUMEN; NOT FOUND; 20 ML; LR3
1040419430010; CETAFRIN; CETAFRIN; NOT FOUND; 200 MG SOL OR CT FR VD AMB GOT X 20 ML; LR3
1040419430037; CETAFRIN; CETAFRIN; NOT FOUND; 750 MG COM CT 50 BL AL PLAS INC X 4; LR3
1040419370050; CEFLEXIN; CEFLEXIN; NOT FOUND; SUSPENSAO 100 ML; LR3
1040419600013; CODEVERIN; CODEVERIN; NOT FOUND; GOTAS 15 ML; LR3
